Gene_ID,metap,metafc,idx,Gene_Symbol,Gene_Description
2118,1.04492703189744e-75,5.05998646652574,379.402410268018,ETV4,ETS variant transcription factor 4
845,1.44946145951036e-51,-5.69827419637811,-289.693384195024,CASQ2,calsequestrin 2
2981,3.66881436797913e-37,-7.22780880273223,-263.348641601211,GUCA2B,guanylate cyclase activator 2B
477,3.18704705642795e-42,-5.79659721655428,-240.539142857408,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
8736,2.40225736716609e-64,-3.71935487826286,-236.623053088509,MYOM1,myomesin 1
144501,4.42711479998365e-40,5.80260028516323,228.354830761847,KRT80,keratin 80
57214,5.7233145744258e-49,4.60719994921184,222.262163448877,CEMIP,cell migration inducing hyaluronidase 1
760,3.88651839587494e-38,-4.67001909636089,-174.707465805021,CA2,carbonic anhydrase 2
23336,4.1526843073287e-35,-5.02509142374523,-172.771040494662,SYNM,synemin
1674,1.11582997947549e-32,-5.31518190481716,-169.832828789751,DES,desmin
4316,2.35148822189778e-24,7.03605404243832,166.252508954573,MMP7,matrix metallopeptidase 7
6493,8.04726294521209e-24,7.05917628779297,163.027100663716,SIM2,SIM bHLH transcription factor 2
2273,4.24541947842075e-38,-4.19785726040123,-156.882654811311,FHL1,four and a half LIM domains 1
94234,7.73352810286892e-28,5.61609545073989,152.261458840637,FOXQ1,forkhead box Q1
111,6.21883940336638e-42,-3.6942424167382,-152.226026786537,ADCY5,adenylate cyclase 5
651,3.85150828695112e-26,-5.9251362844796,-150.583600877035,BMP3,bone morphogenetic protein 3
126,8.11753756766856e-31,-4.97540672489848,-149.712852658015,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
388364,1.12542324383662e-23,-6.3272555961126,-145.202190018045,TMIGD1,transmembrane and immunoglobulin domain containing 1
1001,7.17170729752898e-27,5.46547227778154,142.891370139086,CDH3,cadherin 3
4629,3.91694960484323e-26,-5.51195621926985,-140.04255837298,MYH11,myosin heavy chain 11
120071,5.45810509054853e-32,4.37080958992764,136.644437102114,LARGE2,LARGE xylosyl- and glucuronyltransferase 2
25984,1.40747704495689e-20,6.56762107873903,130.37751522919,KRT23,keratin 23
7123,1.39363453053861e-34,-3.83597888527223,-129.870329968454,CLEC3B,C-type lectin domain family 3 member B
7153,1.89790443875054e-50,2.60502061115658,129.526120162635,TOP2A,DNA topoisomerase II alpha
8671,4.88027715682977e-27,-4.90925199649962,-129.170056434134,SLC4A4,solute carrier family 4 member 4
762,2.84025650089688e-25,-5.19114139331994,-127.425091624097,CA4,carbonic anhydrase 4
343,4.20750690019864e-20,-6.45364247131123,-125.045616235784,AQP8,aquaporin 8
9076,4.6623399548951e-28,4.48628040867589,122.616306699394,CLDN1,claudin 1
72,2.86375931453471e-22,-5.62839299258333,-121.252827559066,ACTG2,"actin gamma 2, smooth muscle"
653808,3.68208054418521e-22,-5.61618858812018,-120.376862295506,ZG16,zymogen granule protein 16
4312,2.57202020844159e-20,6.1002563216852,119.502347574647,MMP1,matrix metallopeptidase 1
171024,3.13677484197365e-23,-5.24673250473629,-118.069932298822,SYNPO2,synaptopodin 2
25802,9.76189264608638e-27,-4.50530191413623,-117.185002134361,LMOD1,leiomodin 1
10290,6.44213234806214e-29,-3.95573194716249,-111.51592206356,SPEG,striated muscle enriched protein kinase
1410,2.71342528145058e-35,-3.15081075745048,-108.912443751625,CRYAB,crystallin alpha B
5125,1.52122667764359e-37,-2.84169989710988,-104.625155712412,PCSK5,proprotein convertase subtilisin/kexin type 5
2906,1.29534702993407e-24,4.23088417694098,101.065727531955,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D
22802,2.23666900151812e-13,-7.96524285397987,-100.763494509263,CLCA4,chloride channel accessory 4
57167,1.42682110851335e-15,6.72512613171337,99.8387374444517,SALL4,spalt like transcription factor 4
1470,1.27274527945416e-16,6.20667222527344,98.6566594769173,CST2,cystatin SA
1063,5.20179917285143e-46,2.17556928808667,98.5181455150249,CENPF,centromere protein F
126393,1.95873029320361e-24,-4.10890044218828,-97.4139158848709,HSPB6,heat shock protein family B (small) member 6
1264,3.17838437935906e-19,-5.09360513022012,-94.2204562888211,CNN1,calponin 1
9378,3.57842487725282e-18,-5.39540327555613,-94.1298678453856,NRXN1,neurexin 1
3624,4.34453079001395e-21,4.49223890032932,91.4712250876748,INHBA,inhibin subunit beta A
124872,9.60688910485315e-18,-5.29229043254637,-90.0611143530662,B4GALNT2,"beta-1,4-N-acetyl-galactosaminyltransferase 2 (SID blood group)"
1469,7.37682481659272e-10,9.75225289247386,89.0588463752553,CST1,cystatin SN
57158,4.75765340229075e-20,-4.56496651443216,-88.2070548383483,JPH2,junctophilin 2
