Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
CPNE8,-2.013438441,4.04e-05,copine 8,Down
ZNF677,-3.082874317,0.000396398,zinc finger protein 677,Down
LOXL4,-2.534410997,0.000179023,lysyl oxidase like 4,Down
ADGRL3,-2.495822824,0.000166082,adhesion G protein-coupled receptor L3,Down
SCN4B,-2.123401322,6.32e-05,sodium voltage-gated channel beta subunit 4,Down
MYOM1,-3.82427188,0.000728578,myomesin 1,Down
GSTM5,-2.156273208,7.05e-05,glutathione S-transferase mu 5,Down
SLC28A2,-2.989114576,0.000363805,solute carrier family 28 member 2,Down
CCNB2,1.894853801,2.65e-05,cyclin B2,Up
SLCO4C1,-2.220181647,8.97e-05,solute carrier organic anion transporter family member 4C1,Down
SOSTDC1,-2.300876997,0.000112242,sclerostin domain containing 1,Down
ITM2C,-1.981097398,3.98e-05,integral membrane protein 2C,Down
TRAIP,1.810431945,1.76e-05,TRAF interacting protein,Up
PLEKHG4,1.910369634,2.97e-05,pleckstrin homology and RhoGEF domain containing G4,Up
CA12,-2.124631765,6.84e-05,carbonic anhydrase 12,Down
CKS2,2.110883119,6.61e-05,CDC28 protein kinase regulatory subunit 2,Up
VTN,2.973548195,0.000373203,vitronectin,Up
UGT1A5,-2.567488882,0.000206527,UDP glucuronosyltransferase family 1 member A5,Down
CCDC158,-3.164327486,0.000460948,coiled-coil domain containing 158,Down
CXCL1,3.062670999,0.000418312,C-X-C motif chemokine ligand 1,Up
CDKN3,1.945488925,3.69e-05,cyclin dependent kinase inhibitor 3,Up
LGALS2,-2.140779803,7.8e-05,galectin 2,Down
TEF,-1.800234915,1.9e-05,"TEF transcription factor, PAR bZIP family member",Down
MYEOV,2.296706257,0.000121424,myeloma overexpressed,Up
CFB,2.056765498,6.25e-05,complement factor B,Up
BLM,2.006351586,5.27e-05,BLM RecQ like helicase,Up
ACAA2,-1.697335022,1.26e-05,acetyl-CoA acyltransferase 2,Down
SSBP2,-1.909506355,3.91e-05,single stranded DNA binding protein 2,Down
PLCD1,-1.811800129,2.49e-05,phospholipase C delta 1,Down
PRX,-1.952720343,4.73e-05,periaxin,Down
CENPE,2.155335058,9.65e-05,centromere protein E,Up
CDHR5,-1.835887797,2.91e-05,cadherin related family member 5,Down
EZH2,1.766442123,2.03e-05,enhancer of zeste 2 polycomb repressive complex 2 subunit,Up
FNBP1,-1.926633767,4.47e-05,formin binding protein 1,Down
GLRB,-2.708283531,0.00030861,glycine receptor beta,Down
HIGD1A,-1.743535076,1.85e-05,HIG1 hypoxia inducible domain family member 1A,Down
PER1,-1.864954587,3.51e-05,period circadian regulator 1,Down
ZZEF1,-1.653887321,1.07e-05,zinc finger ZZ-type and EF-hand domain containing 1,Down
UHRF1,1.94176403,4.96e-05,ubiquitin like with PHD and ring finger domains 1,Up
RETN,3.328768097,0.000618307,resistin,Up
RNF150,-3.687740955,0.000794418,ring finger protein 150,Down
FAM124A,-2.080262563,8.31e-05,family with sequence similarity 124 member A,Down
NR3C1,-1.684064959,1.39e-05,nuclear receptor subfamily 3 group C member 1,Down
LRRC19,-1.967150855,5.69e-05,leucine rich repeat containing 19,Down
DBF4,1.655258257,1.17e-05,DBF4-CDC7 kinase regulatory subunit,Up
TTLL6,-2.002650957,6.57e-05,tubulin tyrosine ligase like 6,Down
ARHGAP10,-2.589766852,0.000276194,Rho GTPase activating protein 10,Down
CHP1,-1.681173612,1.49e-05,calcineurin like EF-hand protein 1,Down
PLEKHG7,3.211661378,0.000581789,pleckstrin homology and RhoGEF domain containing G7,Up
ORC1,1.955105513,5.95e-05,origin recognition complex subunit 1,Up
SLCO2A1,-2.157395735,0.000114609,solute carrier organic anion transporter family member 2A1,Down
FOXP2,-3.115044108,0.000545865,forkhead box P2,Down
SHMT2,1.770629752,2.71e-05,serine hydroxymethyltransferase 2,Up
PER3,-1.945108107,5.98e-05,period circadian regulator 3,Down
RHPN1,2.064657006,9.18e-05,rhophilin Rho GTPase binding protein 1,Up
PLCD3,-1.83844347,4.01e-05,phospholipase C delta 3,Down
CYP2S1,1.902788439,5.3e-05,cytochrome P450 family 2 subfamily S member 1,Up
CCDC69,-2.665863553,0.000337002,coiled-coil domain containing 69,Down
HMMR,2.294059287,0.000177078,hyaluronan mediated motility receptor,Up
PYCR1,1.820766359,3.92e-05,pyrroline-5-carboxylate reductase 1,Up
H2AC16,1.94686199,6.68e-05,H2A clustered histone 16,Up
RAD54L,1.68027584,1.94e-05,RAD54 like,Up
ATAD2,1.705541772,2.33e-05,ATPase family AAA domain containing 2,Up
SCML1,2.041299953,9.64e-05,Scm polycomb group protein like 1,Up
PEX26,-1.73166053,2.73e-05,peroxisomal biogenesis factor 26,Down
GCNT3,-2.185661418,0.000148363,"glucosaminyl (N-acetyl) transferase 3, mucin type",Down
BTNL8,-2.255716522,0.000177236,butyrophilin like 8,Down
ABCA6,-2.041129406,0.00010066,ATP binding cassette subfamily A member 6,Down
FBXO41,1.873483921,5.67e-05,F-box protein 41,Up
FOSB,-2.762170187,0.000421744,"FosB proto-oncogene, AP-1 transcription factor subunit",Down
ANGPTL3,2.566121654,0.000322189,angiopoietin like 3,Up
PLCL2,-1.822827123,4.8e-05,phospholipase C like 2,Down
CTSH,1.750352579,3.63e-05,cathepsin H,Up
MGLL,-1.726839472,3.27e-05,monoglyceride lipase,Down
NELFCD,1.514922261,8.43e-06,negative elongation factor complex member C/D,Up
SMIM14,-1.586210713,1.51e-05,small integral membrane protein 14,Down
ZNF385D,-2.285448189,0.000214584,zinc finger protein 385D,Down
CDH23,-2.285361785,0.000215208,cadherin related 23,Down
SMIM32,-2.416284268,0.00027786,small integral membrane protein 32,Down
PNMA6A,-3.493256772,0.00086579,PNMA family member 6A,Down
GJB3,1.944533343,8.91e-05,gap junction protein beta 3,Up
FFAR3,-3.247922108,0.000741643,free fatty acid receptor 3,Down
ABHD3,-1.78019108,4.83e-05,"abhydrolase domain containing 3, phospholipase",Down
H2AC13,1.849826124,6.65e-05,H2A clustered histone 13,Up
CELSR3,1.783195959,5.26e-05,cadherin EGF LAG seven-pass G-type receptor 3,Up
LAMP3,2.065696993,0.000141092,lysosomal associated membrane protein 3,Up
RAB3B,-2.148608646,0.000174809,"RAB3B, member RAS oncogene family",Down
HHLA2,-2.096751578,0.00015457,HHLA2 member of B7 family,Down
CAV1,-2.766349815,0.000498885,caveolin 1,Down
NLGN4X,-2.929267429,0.000593397,neuroligin 4 X-linked,Down
TMEM220,-2.839307344,0.000541554,transmembrane protein 220,Down
C1QTNF7,-2.333435748,0.00026507,C1q and TNF related 7,Down
CACNB2,-2.049929455,0.000139863,calcium voltage-gated channel auxiliary subunit beta 2,Down
ATAD5,1.870907054,7.92e-05,ATPase family AAA domain containing 5,Up
NCAPH,1.980175202,0.000114845,non-SMC condensin I complex subunit H,Up
H4C11,1.703945653,3.88e-05,H4 clustered histone 11,Up
SP5,2.221894968,0.000215267,Sp5 transcription factor,Up
DDX60,-1.68265938,3.5e-05,DExD/H-box helicase 60,Down
CCNA2,1.768148991,5.28e-05,cyclin A2,Up
RHOU,-1.758746629,5.14e-05,ras homolog family member U,Down
ICAM5,2.744920322,0.000503477,intercellular adhesion molecule 5,Up
SMTNL2,3.08263599,0.000704657,smoothelin like 2,Up
DIO2,2.135391195,0.000184231,iodothyronine deiodinase 2,Up
H2BC11,1.784286406,6.03e-05,H2B clustered histone 11,Up
H4C12,1.699462833,4.11e-05,H4 clustered histone 12,Up
WFDC1,-2.921008472,0.000617103,WAP four-disulfide core domain 1,Down
CPM,-1.8107028,7.02e-05,carboxypeptidase M,Down
TP53INP2,-2.422807032,0.000345187,tumor protein p53 inducible nuclear protein 2,Down
NDUFA4L2,1.972442698,0.000129389,NDUFA4 mitochondrial complex associated like 2,Up
XRCC4,1.604478861,2.77e-05,X-ray repair cross complementing 4,Up
FANCB,2.000200201,0.000141435,FA complementation group B,Up
PRDX6,-1.660330391,3.83e-05,peroxiredoxin 6,Down
CPNE1,1.649943057,3.75e-05,copine 1,Up
PGR,-3.23254248,0.000845963,progesterone receptor,Down
PRRT2,-2.008094685,0.000150456,proline rich transmembrane protein 2,Down
PLCD4,-2.288367589,0.000287172,phospholipase C delta 4,Down
GPX2,1.738334105,5.95e-05,glutathione peroxidase 2,Up
S100A11,1.713341336,5.35e-05,S100 calcium binding protein A11,Up
SERTAD4,-2.737172666,0.00055737,SERTA domain containing 4,Down
OVGP1,1.891691318,0.000109155,oviductal glycoprotein 1,Up
HSD11B2,-1.769823737,6.98e-05,hydroxysteroid 11-beta dehydrogenase 2,Down
VSIR,-1.578687786,2.7e-05,V-set immunoregulatory receptor,Down
SCNN1B,-4.427513579,0.001479377,sodium channel epithelial 1 subunit beta,Down
HMGA1,1.648161811,4.05e-05,high mobility group AT-hook 1,Up
EXO1,1.971206103,0.000142552,exonuclease 1,Up
TRIM40,-2.35521165,0.000338192,tripartite motif containing 40,Down
PACSIN2,-1.577156449,2.84e-05,protein kinase C and casein kinase substrate in neurons 2,Down
KNL1,1.719534536,6e-05,kinetochore scaffold 1,Up
KRT6B,3.431520586,0.001007003,keratin 6B,Up
TMEM132B,-2.988467655,0.000742878,transmembrane protein 132B,Down
JPH4,-3.288908778,0.000932969,junctophilin 4,Down
MASP1,-4.42605477,0.001520359,MBL associated serine protease 1,Down
CLEC10A,-1.875804016,0.000115696,C-type lectin domain containing 10A,Down
CYBRD1,-1.880749057,0.000117593,cytochrome b reductase 1,Down
ANKRD36C,1.603988719,3.69e-05,ankyrin repeat domain 36C,Up
HSPD1,1.548706322,2.74e-05,heat shock protein family D (Hsp60) member 1,Up
CELSR1,2.036589381,0.000191404,cadherin EGF LAG seven-pass G-type receptor 1,Up
DKC1,1.555436915,2.97e-05,dyskerin pseudouridine synthase 1,Up
IRX2,3.14782162,0.00088009,iroquois homeobox 2,Up
SPRR2A,3.949108245,0.001347954,small proline rich protein 2A,Up
LTBP4,-1.803209515,9.92e-05,latent transforming growth factor beta binding protein 4,Down
C2,2.417769716,0.000419503,complement C2,Up
CHCHD10,-1.567457235,3.38e-05,coiled-coil-helix-coiled-coil-helix domain containing 10,Down
TMEM236,-3.003193954,0.00080555,transmembrane protein 236,Down
SGO2,1.931562099,0.00015292,shugoshin 2,Up
GZMB,2.032281884,0.000204547,granzyme B,Up
GNG7,-2.561354117,0.000522853,G protein subunit gamma 7,Down
SOX15,-2.89924714,0.00074962,SRY-box transcription factor 15,Down
TLR3,-1.738899799,8.15e-05,toll like receptor 3,Down
CCL15-CCL14,-1.769681737,9.45e-05,CCL15-CCL14 readthrough (NMD candidate),Down
PRPH2,-3.130037713,0.000912678,peripherin 2,Down
GAS7,-1.805127903,0.000108054,growth arrest specific 7,Down
DSCC1,1.948362091,0.000172035,DNA replication and sister chromatid cohesion 1,Up
CSRNP3,-2.073043612,0.00023731,cysteine and serine rich nuclear protein 3,Down
STARD9,-1.800161001,0.000109741,StAR related lipid transfer domain containing 9,Down
HBB,-2.045277381,0.000226643,hemoglobin subunit beta,Down
CKB,-1.853292679,0.000134155,creatine kinase B,Down
KIAA2012,2.946949735,0.000814053,KIAA2012,Up
PRDX4,1.610768614,5.1e-05,peroxiredoxin 4,Up
GGT6,-1.739602417,9.12e-05,gamma-glutamyltransferase 6,Down
RFC3,2.137088291,0.000283827,replication factor C subunit 3,Up
IER5L,1.809373208,0.000118603,immediate early response 5 like,Up
DDIAS,2.067475136,0.000246928,DNA damage induced apoptosis suppressor,Up
SAXO5,2.83366367,0.000751774,stabilizer of axonemal microtubules 5,Up
TSPAN11,-1.937646451,0.000179018,tetraspanin 11,Down
FYCO1,-1.498293392,2.82e-05,FYVE and coiled-coil domain autophagy adaptor 1,Down
ATP2A3,-1.776679987,0.000109348,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,Down
EPM2A,-2.150311736,0.000299765,"EPM2A glucan phosphatase, laforin",Down
MZT1,1.875231075,0.000152114,mitotic spindle organizing protein 1,Up
SVIL,-2.448770129,0.000496057,supervillin,Down
PREX2,-1.824403596,0.000130113,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2",Down
CDCA7,2.364448019,0.000442861,cell division cycle associated 7,Up
MT1F,-2.023934715,0.000233489,metallothionein 1F,Down
SLC5A6,1.642454232,6.6e-05,solute carrier family 5 member 6,Up
TNS2,-1.913691139,0.000176625,tensin 2,Down
TCEA3,-1.712586348,9.06e-05,transcription elongation factor A3,Down
PABPC1L,2.222617679,0.000363325,poly(A) binding protein cytoplasmic 1 like,Up
H2AC25,2.072950588,0.00027005,H2A clustered histone 25,Up
CENPW,2.073071088,0.000272045,centromere protein W,Up
ACADS,-1.882910769,0.000168869,acyl-CoA dehydrogenase short chain,Down
FAAH2,1.649812019,7.36e-05,fatty acid amide hydrolase 2,Up
NIBAN1,-3.47659316,0.001234555,niban apoptosis regulator 1,Down
IGFN1,3.174529739,0.001042391,immunoglobulin like and fibronectin type III domain containing 1,Up
TOM1L2,-1.534962311,4.26e-05,target of myb1 like 2 membrane trafficking protein,Down
HELLS,1.839256591,0.000153581,"helicase, lymphoid specific",Up
UNC5C,-2.013315931,0.000246768,unc-5 netrin receptor C,Down
TNNT2,3.223397723,0.001085144,"troponin T2, cardiac type",Up
NUDCD1,1.744129916,0.000113678,NudC domain containing 1,Up
LARGE1,-1.630770717,7.18e-05,LARGE xylosyl- and glucuronyltransferase 1,Down
CIPC,-1.57057152,5.37e-05,CLOCK interacting pacemaker,Down
CNTNAP3B,-2.906230333,0.000880668,contactin associated protein family member 3B,Down
CLIC6,-2.225468979,0.000390528,chloride intracellular channel 6,Down
COL21A1,-2.876218113,0.000860122,collagen type XXI alpha 1 chain,Down
TAF1D,1.513236259,4.02e-05,"TATA-box binding protein associated factor, RNA polymerase I subunit D",Up
FAM13C,-1.971596361,0.000232448,family with sequence similarity 13 member C,Down
AP3B2,-3.268040936,0.001139059,adaptor related protein complex 3 subunit beta 2,Down
MEGF10,-2.623650223,0.000683149,multiple EGF like domains 10,Down
CYP27B1,1.984715093,0.000243182,cytochrome P450 family 27 subfamily B member 1,Up
HRCT1,-2.159105211,0.000354479,histidine rich carboxyl terminus 1,Down
TOP1MT,1.698911126,0.000101428,DNA topoisomerase I mitochondrial,Up
MPL,-2.408225956,0.000534688,"MPL proto-oncogene, thrombopoietin receptor",Down
IGSF9,-1.818121544,0.000156477,immunoglobulin superfamily member 9,Down
FAM111B,1.820036136,0.000159423,FAM111 trypsin like peptidase B,Up
PINK1,-1.531885278,5.04e-05,PTEN induced kinase 1,Down
MXI1,-1.671690719,9.81e-05,"MAX interactor 1, dimerization protein",Down
CSE1L,1.490349236,4.07e-05,chromosome segregation 1 like,Up
NAAA,-1.756335826,0.000135616,N-acylethanolamine acid amidase,Down
DNASE1,1.721876907,0.000124855,deoxyribonuclease 1,Up
CAMTA2,-1.440248461,3.19e-05,calmodulin binding transcription activator 2,Down
C6orf141,1.954121976,0.000251486,chromosome 6 open reading frame 141,Up
FOXA2,1.841775502,0.000187381,forkhead box A2,Up
GRAMD2A,2.076761513,0.000334999,GRAM domain containing 2A,Up
PRKACB,-1.868070606,0.000204474,protein kinase cAMP-activated catalytic subunit beta,Down
VIP,-3.358140207,0.001281127,vasoactive intestinal peptide,Down
LIPC,-2.173104296,0.000416134,"lipase C, hepatic type",Down
H2AC14,1.849539353,0.0002037,H2A clustered histone 14,Up
TGIF2,1.677449283,0.00011631,TGFB induced factor homeobox 2,Up
KIF17,-2.55147165,0.000709892,kinesin family member 17,Down
MAB21L2,-2.967985578,0.001029668,mab-21 like 2,Down
PBX4,1.81634719,0.00018755,PBX homeobox 4,Up
TMEM253,-1.802869108,0.000180402,transmembrane protein 253,Down
PDZRN4,-5.183700825,0.002147893,PDZ domain containing ring finger 4,Down
ABI3BP,-3.026079526,0.001082661,ABI family member 3 binding protein,Down
MEX3A,2.556136142,0.000731894,mex-3 RNA binding family member A,Up
FAM47E-STBD1,-1.691508607,0.000130347,FAM47E-STBD1 readthrough,Down
MAPK10,-1.90247558,0.000251691,mitogen-activated protein kinase 10,Down
TST,-1.646478932,0.000112472,thiosulfate sulfurtransferase,Down
CMYA5,-2.352544725,0.00059036,cardiomyopathy associated 5,Down
CENPK,1.803728059,0.000199048,centromere protein K,Up
CDT1,1.678129141,0.000134763,chromatin licensing and DNA replication factor 1,Up
USPL1,1.634976558,0.000116308,ubiquitin specific peptidase like 1,Up
SH3BGR,-2.517340727,0.000750195,SH3 domain binding glutamate rich protein,Down
CXCL9,2.084294683,0.000406173,C-X-C motif chemokine ligand 9,Up
TCN2,-1.653698957,0.000129835,transcobalamin 2,Down
ADAMTS8,-3.563641821,0.001515865,ADAM metallopeptidase with thrombospondin type 1 motif 8,Down
TGDS,1.643876659,0.000126165,"TDP-glucose 4,6-dehydratase",Up
KIF18A,2.306081645,0.0005874,kinesin family member 18A,Up
PID1,-1.811407898,0.000221016,phosphotyrosine interaction domain containing 1,Down
H2AC11,1.691321611,0.000153083,H2A clustered histone 11,Up
PIMREG,1.912031844,0.000289482,PICALM interacting mitotic regulator,Up
EPSTI1,1.717415196,0.000167736,epithelial stromal interaction 1,Up
IL20RA,1.685878376,0.000154873,interleukin 20 receptor subunit alpha,Up
MFAP4,-2.460185302,0.00073342,microfibril associated protein 4,Down
TNFRSF4,2.059540654,0.0004094,TNF receptor superfamily member 4,Up
FBXO5,1.767369224,0.000205946,F-box protein 5,Up
NOP58,1.488671575,6.99e-05,NOP58 ribonucleoprotein,Up
AURKB,1.794601337,0.000224975,aurora kinase B,Up
DBNDD1,1.795574252,0.000226853,dysbindin domain containing 1,Up
KIF18B,2.139752215,0.000489493,kinesin family member 18B,Up
TNFRSF8,2.94483702,0.00115692,TNF receptor superfamily member 8,Up
MAOA,-1.755221722,0.000208367,monoamine oxidase A,Down
CDCA8,1.810178049,0.000244497,cell division cycle associated 8,Up
FAT4,-1.896447359,0.000305692,FAT atypical cadherin 4,Down
DENND2A,-1.748449696,0.000207235,DENN domain containing 2A,Down
CIP2A,1.827243637,0.000258793,cellular inhibitor of PP2A,Up
MROH6,1.928808186,0.000335008,maestro heat like repeat family member 6,Up
IL11RA,-1.680664268,0.000169979,interleukin 11 receptor subunit alpha,Down
DST,-1.587161582,0.000126088,dystonin,Down
AAK1,-1.394733039,4.91e-05,AP2 associated kinase 1,Down
KIF1C,-1.44713703,6.63e-05,kinesin family member 1C,Down
P2RY1,-1.943498496,0.000360424,purinergic receptor P2Y1,Down
STAC,-3.163658034,0.001361075,SH3 and cysteine rich domain,Down
SKA1,1.823329027,0.000272566,spindle and kinetochore associated complex subunit 1,Up
H2BC7,1.694764548,0.000188901,H2B clustered histone 7,Up
SCNN1G,-2.697460805,0.00100941,sodium channel epithelial 1 subunit gamma,Down
RBPMS2,-4.744801818,0.002197743,"RNA binding protein, mRNA processing factor 2",Down
CCDC113,1.799967813,0.000261843,coiled-coil domain containing 113 [Source:HGNC Symbol;Acc:HGNC:25002],Up
GNAZ,-2.13904181,0.00053059,G protein subunit alpha z,Down
TREH,-1.981188158,0.000402387,trehalase,Down
GOLT1A,1.813549251,0.000278267,golgi transport 1A,Up
C1QL1,-2.271205042,0.000660319,complement C1q like 1,Down
THRB,-2.469704663,0.000853298,thyroid hormone receptor beta,Down
ESPL1,1.63964196,0.000175665,"extra spindle pole bodies like 1, separase",Up
ENDOD1,-1.521335534,0.000111615,endonuclease domain containing 1,Down
RILP,-1.62211667,0.000168008,Rab interacting lysosomal protein,Down
PCSK9,3.194090735,0.001457379,proprotein convertase subtilisin/kexin type 9,Up
PAFAH1B3,1.528490495,0.000117337,platelet activating factor acetylhydrolase 1b catalytic subunit 3,Up
PLPP4,2.973258787,0.001295075,phospholipid phosphatase 4,Up
ST3GAL4,-2.010321921,0.00046554,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4",Down
TPSB2,-1.928280959,0.000399073,tryptase beta 2,Down
ZER1,-1.423226105,7.5e-05,zyg-11 related cell cycle regulator,Down
DCAF13,1.565587491,0.000144471,DDB1 and CUL4 associated factor 13,Up
TP53RK,1.407624201,6.99e-05,TP53 regulating kinase,Up
SSTR2,-2.281585145,0.000721789,somatostatin receptor 2,Down
CHRNA1,-2.784774499,0.001175944,cholinergic receptor nicotinic alpha 1 subunit,Down
COL10A1,2.682355282,0.001090463,collagen type X alpha 1 chain,Up
SGO1,1.78229511,0.000294637,shugoshin 1,Up
VAMP2,-1.512623049,0.00012045,vesicle associated membrane protein 2,Down
RECQL4,1.660297902,0.00020875,RecQ like helicase 4,Up
CITED2,-2.04498084,0.000520675,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,Down
UGT2B17,-3.483319818,0.001716314,UDP glucuronosyltransferase family 2 member B17,Down
GTF3A,1.769797339,0.000293868,general transcription factor IIIA,Up
ZNF676,-3.675278229,0.001845306,zinc finger protein 676,Down
FBXO32,-2.294587438,0.000765644,F-box protein 32,Down
SLC39A10,1.877481378,0.000387467,solute carrier family 39 member 10,Up
PRICKLE2,-2.031274898,0.000527954,prickle planar cell polarity protein 2,Down
JAG2,1.710575282,0.000260484,jagged canonical Notch ligand 2,Up
HILPDA,1.985685756,0.000495888,hypoxia inducible lipid droplet associated,Up
PUS7,1.503448351,0.000129921,pseudouridine synthase 7,Up
EPHB2,1.484887411,0.000121515,EPH receptor B2,Up
KIF15,1.630980054,0.000212026,kinesin family member 15,Up
TMEM25,-1.975287331,0.000495436,transmembrane protein 25,Down
HPGDS,-2.105486168,0.00061741,hematopoietic prostaglandin D synthase,Down
TRPV3,-1.861832289,0.000402057,transient receptor potential cation channel subfamily V member 3,Down
CYP39A1,1.828073869,0.00038198,cytochrome P450 family 39 subfamily A member 1,Up
CHEK1,1.700711503,0.000278568,checkpoint kinase 1,Up
FRMD1,-2.043390327,0.000584557,FERM domain containing 1,Down
PDCD4,-1.65484507,0.000246366,programmed cell death 4,Down
TNFRSF9,2.060623408,0.000603667,TNF receptor superfamily member 9,Up
MND1,1.683030594,0.000268628,meiotic nuclear divisions 1,Up
NACC2,-1.565555317,0.000186344,NACC family member 2,Down
CDHR3,-2.475433097,0.001015467,cadherin related family member 3,Down
H3C8,1.957183723,0.000512675,H3 clustered histone 8,Up
TOX,-2.929024637,0.001422777,thymocyte selection associated high mobility group box,Down
CORIN,2.599988984,0.001136831,"corin, serine peptidase",Up
CLCN1,3.139263325,0.001594994,chloride voltage-gated channel 1,Up
CHTF18,1.530781999,0.000166993,chromosome transmission fidelity factor 18,Up
PUS7L,1.463433909,0.000127293,pseudouridine synthase 7 like,Up
C1orf115,-2.39366828,0.000952229,chromosome 1 open reading frame 115,Down
ERP27,2.402649319,0.000964911,endoplasmic reticulum protein 27,Up
SLC36A1,-1.584958149,0.000207126,solute carrier family 36 member 1,Down
PSCA,-3.624540329,0.00194046,prostate stem cell antigen,Down
APPL2,-1.459473106,0.000130475,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",Down
GPIHBP1,-3.152208461,0.001632155,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,Down
NBPF6,2.930452649,0.001464483,NBPF member 6,Up
IL1B,2.145074979,0.000727746,interleukin 1 beta,Up
PLCL1,-1.828811992,0.000419943,phospholipase C like 1 (inactive),Down
GLDC,2.04291302,0.000629612,glycine decarboxylase,Up
PADI1,2.928042275,0.001476253,peptidyl arginine deiminase 1,Up
TPSAB1,-1.910452028,0.000502005,tryptase alpha/beta 1,Down
SLC66A2,-1.587916743,0.000221678,solute carrier family 66 member 2,Down
UST,-2.445405235,0.001046246,uronyl 2-sulfotransferase,Down
MYOM2,-2.255759527,0.000865289,myomesin 2,Down
TXNIP,-1.444945939,0.000135567,thioredoxin interacting protein,Down
ARHGAP11B,1.752727677,0.000377383,Rho GTPase activating protein 11B,Up
H2BC15,1.552314779,0.000212358,H2B clustered histone 15,Up
AR,-2.313252718,0.000946663,androgen receptor,Down
TTLL7,-1.884830878,0.000507393,tubulin tyrosine ligase like 7,Down
MC1R,1.837082639,0.00046603,melanocortin 1 receptor,Up
CPAMD8,-2.598753401,0.001244529,C3 and PZP like alpha-2-macroglobulin domain containing 8,Down
H1-5,1.752718942,0.00039314,"H1.5 linker histone, cluster member",Up
H2BC10,1.813707422,0.000453005,H2B clustered histone 10,Up
METTL1,1.521660017,0.00020041,"methyltransferase 1, tRNA methylguanosine",Up
F8,-1.814291676,0.000456615,coagulation factor VIII,Down
TENT5A,-1.616509824,0.0002782,terminal nucleotidyltransferase 5A,Down
BTNL3,-2.194298027,0.000858889,butyrophilin like 3,Down
GABRE,1.845226896,0.000497634,gamma-aminobutyric acid type A receptor subunit epsilon,Up
HASPIN,1.632758662,0.000297837,histone H3 associated protein kinase,Up
JAZF1,-1.662465582,0.000324501,JAZF zinc finger 1,Down
SYNM,-5.12888941,0.002687414,synemin,Down
ANGPTL7,-2.030532695,0.000699616,angiopoietin like 7,Down
GDPD3,-1.652593957,0.000325871,glycerophosphodiester phosphodiesterase domain containing 3,Down
CACNA1C,-2.633418327,0.001339723,calcium voltage-gated channel subunit alpha1 C,Down
ENTREP2,-2.008550047,0.000694849,endosomal transmembrane epsin interactor 2,Down
PMEPA1,1.63909525,0.000326422,"prostate transmembrane protein, androgen induced 1",Up
PYY,-3.743433046,0.002180328,peptide YY,Down
BRINP3,-2.911726458,0.0016102,BMP/retinoic acid inducible neural specific 3,Down
RTKN,1.459436087,0.000181148,rhotekin,Up
ZNF536,-2.95575367,0.001654409,zinc finger protein 536,Down
MIDEAS,-1.455683106,0.000179983,mitotic deacetylase associated SANT domain protein,Down
SRMS,3.022002609,0.001719188,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites,Up
LIPM,2.775627395,0.00151609,lipase family member M,Up
CCNF,1.603321965,0.000306904,cyclin F,Up
DNAH14,2.068331646,0.000791217,dynein axonemal heavy chain 14,Up
PSRC1,1.684319901,0.000384049,proline and serine rich coiled-coil 1,Up
CTIF,-1.540686853,0.000253507,cap binding complex dependent translation initiation factor,Down
RYR1,-2.270776093,0.00102899,ryanodine receptor 1,Down
C8orf88,-2.71396555,0.001480144,chromosome 8 open reading frame 88,Down
SYCP2,2.277918856,0.001047543,synaptonemal complex protein 2,Up
BDKRB2,-1.639488461,0.000358142,bradykinin receptor B2,Down
DNASE1L2,1.910633582,0.00064556,deoxyribonuclease 1 like 2,Up
GAREM1,-1.316788779,0.000105968,GRB2 associated regulator of MAPK1 subtype 1,Down
KITLG,-1.592080518,0.000318557,KIT ligand,Down
RASSF8,-1.734329657,0.000464485,Ras association domain family member 8,Down
PJA2,-1.379269963,0.000151111,praja ring finger ubiquitin ligase 2,Down
NEURL1,-2.372994548,0.001184678,neuralized E3 ubiquitin protein ligase 1,Down
MMP9,2.316968591,0.001125773,matrix metallopeptidase 9,Up
COL28A1,-2.072458949,0.000860847,collagen type XXVIII alpha 1 chain,Down
ATP5F1A,-1.29007744,0.000100084,ATP synthase F1 subunit alpha,Down
ATOH1,-2.107210264,0.000903702,atonal bHLH transcription factor 1,Down
ACAN,2.400942087,0.001235025,aggrecan,Up
MOGAT2,-1.595813132,0.00034561,monoacylglycerol O-acyltransferase 2,Down
PDE5A,-2.174572444,0.000991134,phosphodiesterase 5A,Down
GNG2,-1.558491316,0.000311495,G protein subunit gamma 2,Down
SINHCAF,1.556697458,0.000309955,SIN3-HDAC complex associated factor,Up
NBPF4,2.98074955,0.001799792,NBPF member 4,Up
SMOC1,-2.028565455,0.000829725,SPARC related modular calcium binding 1,Down
PTPRH,-1.578280787,0.000333727,protein tyrosine phosphatase receptor type H,Down
ADAM12,2.586547981,0.001458839,ADAM metallopeptidase domain 12,Up
ZP3,1.615148181,0.000378846,zona pellucida glycoprotein 3,Up
