Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
PAPPA2,-5.237184597,3.24e-08,pappalysin 2,Down
MYH2,-4.102223515,3.62e-11,myosin heavy chain 2,Down
SERPINB5,3.927220047,5.13e-12,serpin family B member 5,Up
NCAM1,-3.842575965,2.01e-12,neural cell adhesion molecule 1,Down
SECTM1,-3.67582852,1.57e-13,secreted and transmembrane 1,Down
MYOCD,-4.281275259,2.33e-10,myocardin,Down
CPNE7,3.939179892,7.93e-12,copine 7,Up
KRT23,6.643354729,1.23e-06,keratin 23,Up
FAM72B,4.55033771,1.94e-09,family with sequence similarity 72 member B,Up
COL11A1,5.109352675,3.24e-08,collagen type XI alpha 1 chain,Up
USP2,-4.063105285,4.72e-11,ubiquitin specific peptidase 2,Down
LYNX1,-4.608961501,3.42e-09,Ly6/neurotoxin 1,Down
CHGB,-3.966371645,1.93e-11,chromogranin B,Down
IL1A,5.615830605,1.88e-07,interleukin 1 alpha,Up
LGI1,-5.442739358,1.18e-07,leucine rich glioma inactivated 1,Down
ZFHX4,-4.594086135,3.97e-09,zinc finger homeobox 4,Down
SOX10,-4.502823299,2.62e-09,SRY-box transcription factor 10,Down
SLC26A3,-4.263407431,6.28e-10,solute carrier family 26 member 3,Down
CD177,-4.334975756,1.07e-09,CD177 molecule,Down
LYNX1-SLURP2,-4.727632824,1.19e-08,LYNX1-SLURP2 readthrough,Down
PGM5,-3.907980869,2.95e-11,phosphoglucomutase 5,Down
POU5F1B,3.663032878,1.31e-12,POU class 5 homeobox 1B,Up
DMD,-3.713205752,3.31e-12,dystrophin,Down
PSD,-5.14392726,8.16e-08,pleckstrin and Sec7 domain containing,Down
DSG3,4.867050692,2.95e-08,desmoglein 3,Up
KCNA5,-4.902937901,3.46e-08,potassium voltage-gated channel subfamily A member 5,Down
C2CD4A,4.019581211,1.43e-10,C2 calcium dependent domain containing 4A,Up
GRIN2D,4.22553684,8.97e-10,glutamate ionotropic receptor NMDA type subunit 2D,Up
PKP1,4.781360812,2.75e-08,plakophilin 1,Up
CNKSR2,-4.998279497,6.72e-08,connector enhancer of kinase suppressor of Ras 2,Down
SLC51A,-4.325504936,2.69e-09,solute carrier family 51 member A,Down
GAP43,-5.566668776,3.92e-07,growth associated protein 43,Down
LRP1B,-4.588013081,1.24e-08,LDL receptor related protein 1B,Down
TENT5B,-5.179006852,1.41e-07,terminal nucleotidyltransferase 5B,Down
VWA2,3.776066336,2.49e-11,von Willebrand factor A domain containing 2,Up
APOC2,3.916777889,1.17e-10,apolipoprotein C2,Up
ZBTB16,-3.840333772,5.32e-11,zinc finger and BTB domain containing 16,Down
PRIMA1,-4.597562053,1.49e-08,proline rich membrane anchor 1,Down
PLN,-4.527404217,1.05e-08,phospholamban,Down
APOC4-APOC2,3.899492899,1.2e-10,APOC4-APOC2 readthrough (NMD candidate),Up
SORBS1,-4.119064385,8.73e-10,sorbin and SH3 domain containing 1,Down
CLDN9,4.833226726,4.9e-08,claudin 9,Up
RNF152,-3.637579298,6.11e-12,ring finger protein 152,Down
GFRA3,-3.796453274,4.79e-11,GDNF family receptor alpha 3,Down
CYP24A1,5.549911839,5.02e-07,cytochrome P450 family 24 subfamily A member 1,Up
SLC51B,-3.582198724,4.16e-12,SLC51 subunit beta,Down
EGFL6,4.080304274,1.3e-09,EGF like domain multiple 6,Up
RASD2,-3.425322033,6.19e-13,RASD family member 2,Down
CAND2,-3.782745615,9.01e-11,cullin associated and neddylation dissociated 2 (putative),Down
SLC26A2,-3.377199538,4.05e-13,solute carrier family 26 member 2,Down
RASL12,-3.325570767,1.56e-13,RAS like family 12,Down
HLF,-3.577379845,1.18e-11,"HLF transcription factor, PAR bZIP family member",Down
BMP3,-5.964863535,1.81e-06,bone morphogenetic protein 3,Down
DHRS9,-3.807757433,2.17e-10,dehydrogenase/reductase 9,Down
CNR1,-5.038498654,2.41e-07,cannabinoid receptor 1,Down
PRSS22,4.32635023,2.03e-08,serine protease 22,Up
MSX2,3.648843399,1.31e-10,msh homeobox 2,Up
STOX2,-3.461343243,1.45e-11,storkhead box 2,Down
ASB2,-3.857121194,1.1e-09,ankyrin repeat and SOCS box containing 2,Down
MEP1B,-3.820112557,8.37e-10,meprin A subunit beta,Down
CRIPTO,3.599764463,1.05e-10,"cripto, EGF-CFC family member",Up
RYR3,-3.806306495,8.34e-10,ryanodine receptor 3,Down
TG,3.817151497,1.15e-09,thyroglobulin,Up
SULT1A2,-3.279814495,1.67e-12,sulfotransferase family 1A member 2,Down
TRIB3,3.505777328,5.45e-11,tribbles pseudokinase 3,Up
MMP3,4.681982722,1.74e-07,matrix metallopeptidase 3,Up
CARTPT,-6.657594519,8.86e-06,CART prepropeptide,Down
CXCL5,4.850697432,3.36e-07,C-X-C motif chemokine ligand 5,Up
TNS4,3.410464186,6.03e-11,tensin 4,Up
GRIK3,-3.942101297,8.19e-09,glutamate ionotropic receptor kainate type subunit 3,Down
SULT2B1,4.063269673,1.91e-08,sulfotransferase family 2B member 1,Up
ACSL6,4.592961519,2.1e-07,acyl-CoA synthetase long chain family member 6,Up
NOTUM,5.678293388,3.18e-06,"notum, palmitoleoyl-protein carboxylesterase",Up
SCG2,-4.74915611,4.17e-07,secretogranin II,Down
NKX2-3,-3.594012555,9.16e-10,NK2 homeobox 3,Down
SLC2A4,-3.372116245,9.57e-11,solute carrier family 2 member 4,Down
GJB4,4.359260273,1.18e-07,gap junction protein beta 4,Up
MATN3,4.48411257,2.19e-07,matrilin 3,Up
NTN1,-3.548768089,9.4e-10,netrin 1,Down
LEF1,3.555626563,1.15e-09,lymphoid enhancer binding factor 1,Up
SLC6A6,3.115835491,4.74e-12,solute carrier family 6 member 6,Up
TACSTD2,4.52210703,2.92e-07,tumor associated calcium signal transducer 2,Up
ANO5,-3.492806941,7.3e-10,anoctamin 5,Down
HSD17B2,-3.411057349,3.66e-10,hydroxysteroid 17-beta dehydrogenase 2,Down
SCN9A,-3.638612496,3.21e-09,sodium voltage-gated channel alpha subunit 9,Down
GCNT2,-3.31768921,1.34e-10,glucosaminyl (N-acetyl) transferase 2 (I blood group),Down
CORO6,-3.400361748,3.72e-10,coronin 6,Down
STMN2,-3.579523833,2.87e-09,stathmin 2,Down
NACAD,-4.204334622,1.47e-07,NAC alpha domain containing,Down
NPAS3,-4.570476974,6.02e-07,neuronal PAS domain protein 3,Down
LGR5,3.491956272,2.31e-09,leucine rich repeat containing G protein-coupled receptor 5,Up
LDHD,-3.27477227,4.86e-10,lactate dehydrogenase D,Down
SALL2,-4.084546724,1.53e-07,spalt like transcription factor 2,Down
UBE2C,3.16030377,1.58e-10,ubiquitin conjugating enzyme E2 C,Up
CCNO,4.457767027,6.12e-07,cyclin O,Up
PCSK5,-2.820852601,4.53e-13,proprotein convertase subtilisin/kexin type 5,Down
SCGN,-3.828882486,4.85e-08,"secretagogin, EF-hand calcium binding protein",Down
TRIM29,4.019982449,1.31e-07,tripartite motif containing 29,Up
NKD1,3.416540384,3.58e-09,NKD inhibitor of WNT signaling pathway 1,Up
ADAM33,-3.337843305,1.77e-09,ADAM metallopeptidase domain 33,Down
PLAC8,-3.407311952,3.46e-09,placenta associated 8,Down
NEBL,3.152390955,3.26e-10,nebulette,Up
NEK2,3.057000333,9.95e-11,NIMA related kinase 2,Up
PTGDR2,-4.0658804,2.27e-07,prostaglandin D2 receptor 2,Down
TOP2A,2.773894273,6.69e-13,DNA topoisomerase II alpha,Up
AZGP1,3.088189865,1.75e-10,"alpha-2-glycoprotein 1, zinc-binding",Up
MT1M,-3.969825946,1.73e-07,metallothionein 1M,Down
ABCB11,-4.199114957,4.29e-07,ATP binding cassette subfamily B member 11,Down
RBBP8NL,3.147213861,4.78e-10,RBBP8 N-terminal like,Up
SLC6A19,-3.698134488,5.2e-08,solute carrier family 6 member 19,Down
HOMER2,-4.687113911,2.06e-06,homer scaffold protein 2,Down
PADI2,-3.274020854,2.49e-09,peptidyl arginine deiminase 2,Down
CNGA3,-4.997652337,4.18e-06,cyclic nucleotide gated channel subunit alpha 3,Down
TRPM6,-3.311434075,4.42e-09,transient receptor potential cation channel subfamily M member 6,Down
CHGA,-4.362025995,1.01e-06,chromogranin A,Down
TPH1,-3.84628623,1.48e-07,tryptophan hydroxylase 1,Down
CDH19,-3.492180281,1.99e-08,cadherin 19,Down
MMP28,-3.260907675,3.32e-09,matrix metallopeptidase 28,Down
ALPI,-3.376977475,9.13e-09,"alkaline phosphatase, intestinal",Down
KRT17,3.77900651,1.33e-07,keratin 17,Up
TPX2,2.806913925,1.33e-11,TPX2 microtubule nucleation factor,Up
STRA6,4.420439874,1.51e-06,signaling receptor and transporter of retinol STRA6,Up
ANPEP,-3.436382728,2.06e-08,"alanyl aminopeptidase, membrane",Down
RHEBL1,4.526171561,2.21e-06,RHEB like 1,Up
CNTN2,-4.358881586,1.44e-06,contactin 2,Down
MYH1,-3.676978601,1.09e-07,myosin heavy chain 1,Down
ELAVL4,-4.880156894,5.42e-06,ELAV like RNA binding protein 4,Down
SMPX,-4.970139184,6.52e-06,small muscle protein X-linked,Down
NFE2L3,2.882442605,1.69e-10,NFE2 like bZIP transcription factor 3,Up
PRKG2,-4.077184189,7.97e-07,protein kinase cGMP-dependent 2,Down
CACNA1A,-4.010028756,6.51e-07,calcium voltage-gated channel subunit alpha1 A,Down
TP73,3.607363087,1.13e-07,tumor protein p73,Up
KLK12,4.506361743,2.94e-06,kallikrein related peptidase 12,Up
PRG4,-3.996761024,7.43e-07,proteoglycan 4,Down
TTK,2.764775495,6.05e-11,TTK protein kinase,Up
CKMT2,3.29196963,2.31e-08,"creatine kinase, mitochondrial 2",Up
LYPD8,-3.440459335,6.3e-08,LY6/PLAUR domain containing 8,Down
