Gene_ID,metap,metafc,idx,Gene_Symbol,Gene_Description
57605,0.00409453224964983,-0.894763695605507,-2.13651290838636,PITPNM2,phosphatidylinositol transfer protein membrane associated 2
898,0.0122625749386807,1.1177555190038,2.13649838251573,CCNE1,cyclin E1
57185,0.00315426069779855,-0.854035907566316,-2.13603127120056,NIPAL3,NIPA like domain containing 3
9762,0.0130789165530232,1.13371000817458,2.13526143530937,LZTS3,leucine zipper tumor suppressor family member 3
343099,0.00394014449834167,0.887369036141637,2.13366806661776,CCDC18,coiled-coil domain containing 18
1107,0.00676593519321652,-0.982782116539903,-2.13231500386397,CHD3,chromodomain helicase DNA binding protein 3
254531,0.00488398911950762,-0.922486602787276,-2.13207438656619,LPCAT4,lysophosphatidylcholine acyltransferase 4
27141,0.00253610371370169,-0.820282139563929,-2.12931543898682,CIDEB,cell death inducing DFFA like effector b
100287042,0.0184818796879518,1.22652576470977,2.12588051757203,,
2114,0.00358100691633815,0.868716165250533,2.12487525779521,ETS2,"ETS proto-oncogene 2, transcription factor"
93624,0.00408394800312576,-0.888333922339328,-2.122158492528,TADA2B,transcriptional adaptor 2B
1954,0.00239024796936109,-0.808935098947002,-2.12066950523826,MEGF8,multiple EGF like domains 8
3902,0.0218985714576226,-1.27748059969452,-2.12008663850226,LAG3,lymphocyte activating 3
6129,0.00849404095232366,1.02283677662952,2.11817800247846,RPL7,ribosomal protein L7
107985139,0.00164086803810884,-0.758705194734218,-2.11293808442861,,
5264,0.00720807029504964,-0.985959875321731,-2.11210449851518,PHYH,phytanoyl-CoA 2-hydroxylase
28227,0.00831143867222993,1.01458406038856,2.11066336316806,PPP2R3B,protein phosphatase 2 regulatory subunit B''beta
770,0.0274766508487698,-1.35160516870415,-2.10990460306732,CA11,carbonic anhydrase 11
113839518,0.00537125727145438,0.92859854537895,2.10784816665333,,
6233,0.000841561928875571,0.685163756716529,2.10681957276147,RPS27A,ribosomal protein S27a
8638,0.0296155744805959,-1.37819133557685,-2.10653767006727,OASL,2'-5'-oligoadenylate synthetase like
6210,0.00551883802178169,0.932420449133329,2.10554743055806,RPS15A,ribosomal protein S15a
202018,0.0019763833357531,-0.778537795349029,-2.10526648721756,TAPT1,transmembrane anterior posterior transformation 1
84283,0.015031005588823,1.15472247576069,2.10507288808806,TMEM79,transmembrane protein 79
84957,0.0225993547033964,1.27865632074035,2.1045455035974,RELT,RELT TNF receptor
143872,0.0032598906350732,-0.845628511103971,-2.10290641888906,ARHGAP42,Rho GTPase activating protein 42
54413,0.0276822237952754,-1.34977769258947,-2.10268237300743,NLGN3,neuroligin 3
11078,0.00246852100148419,-0.805841442220676,-2.10128246847368,TRIOBP,TRIO and F-actin binding protein
23158,0.00965938276822432,-1.04192090918815,-2.09952337820797,TBC1D9,TBC1 domain family member 9
8325,0.0131503666353852,-1.11574053566665,-2.09877727833439,FZD8,frizzled class receptor 8
9611,0.000926504065456574,-0.691505263756759,-2.09744103755101,NCOR1,nuclear receptor corepressor 1
254013,0.0111991818807308,-1.07496640181194,-2.09705918597448,ETFBKMT,electron transfer flavoprotein subunit beta lysine methyltransferase
9853,0.00442507577248861,-0.890569908195681,-2.09647217565779,RUSC2,RUN and SH3 domain containing 2
55154,0.00329535021150247,0.844253771921573,2.09552095692316,MSTO1,misato mitochondrial distribution and morphology regulator 1
10901,0.00346429699281623,-0.851311349498802,-2.09455357517266,DHRS4,dehydrogenase/reductase 4
79823,0.00746570672025818,0.98461948943284,2.09421581961049,CAMKMT,calmodulin-lysine N-methyltransferase
347240,0.00428515585636631,0.884011184235644,2.09336799046943,KIF24,kinesin family member 24
55437,0.00692826470185011,-0.968898563493409,-2.09221584710564,STRADB,STE20 related adaptor beta
9513,0.000981915275529861,-0.695357215279918,-2.09158303576335,FXR2,FMR1 autosomal homolog 2
7083,0.00576361976439368,0.933823865615878,2.0911161507429,TK1,thymidine kinase 1
677679,0.0052824056156795,0.918245147081715,2.09099869836087,,
11097,0.00191733653773252,0.769384591551332,2.09065002127504,NUP42,nucleoporin 42
54866,0.0149004902657787,-1.1427852229405,-2.08763940748906,PPP1R14D,protein phosphatase 1 regulatory inhibitor subunit 14D
6170,0.0108081617334433,1.06108775188342,2.08636184520424,RPL39,ribosomal protein L39
3148,0.00321989570086231,0.836915778141673,2.08572651567373,HMGB2,high mobility group box 2
