Gene_ID,Gene_Symbol,Gene_Description,log2FoldChange,adjusted.P.Value,Regulation
7123,CLEC3B,C-type lectin domain family 3 member B,-3.77466168303712,1.31114154847312e-15,DOWN
84000,TMPRSS13,transmembrane serine protease 13,5.24942439524166,5.02973193596272e-09,UP
253152,EPHX4,epoxide hydrolase 4,4.27666564240671,6.82815273014707e-12,UP
7111,TMOD1,tropomodulin 1,-3.98124781634426,2.64520988640373e-13,DOWN
340533,NEXMIF,neurite extension and migration factor,-5.81471014391777,6.10915594627165e-08,DOWN
1272,CNTN1,contactin 1,-5.40987050052099,1.80895401340009e-08,DOWN
80328,ULBP2,UL16 binding protein 2,4.269726443641,1.67058639661016e-11,UP
2318,FLNC,filamin C,-4.49188408352744,1.42785812087206e-10,DOWN
5053,PAH,phenylalanine hydroxylase,5.87608691898335,9.20983525418149e-08,UP
4320,MMP11,matrix metallopeptidase 11,3.97134385743245,6.72128669000049e-13,UP
7148,TNXB,tenascin XB,-4.08115490519473,3.58472300919674e-12,DOWN
54979,PLAAT2,phospholipase A and acyltransferase 2,-3.90041937714676,5.22428172764376e-13,DOWN
9378,NRXN1,neurexin 1,-5.29230374301947,2.12528126433888e-08,DOWN
3651,PDX1,pancreatic and duodenal homeobox 1,3.99086792484523,2.85644989426478e-12,UP
90019,SYT8,synaptotagmin 8,5.38531666931731,3.5148261895751e-08,UP
5521,PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta,-5.27720555719754,2.60590624528387e-08,DOWN
577,ADGRB3,adhesion G protein-coupled receptor B3,-4.18619068599023,4.76203081220595e-11,DOWN
64849,SLC13A3,solute carrier family 13 member 3,5.1948694878379,2.34141917538545e-08,UP
54716,SLC6A20,solute carrier family 6 member 20,3.94689803072943,3.64194975448191e-12,UP
124,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",-4.76244268041132,3.62182618897592e-09,DOWN
287,ANK2,ankyrin 2,-4.4238185329629,4.4732985533942e-10,DOWN
60676,PAPPA2,pappalysin 2,-5.23718459664916,3.23745303319546e-08,DOWN
4620,MYH2,myosin heavy chain 2,-4.10222351544929,3.62377291373622e-11,DOWN
5268,SERPINB5,serpin family B member 5,3.92722004695572,5.13301462164099e-12,UP
4684,NCAM1,neural cell adhesion molecule 1,-3.84257596523987,2.0072638291131e-12,DOWN
6398,SECTM1,secreted and transmembrane 1,-3.67582852012154,1.57356763423782e-13,DOWN
93649,MYOCD,myocardin,-4.28127525918593,2.33316580599756e-10,DOWN
27132,CPNE7,copine 7,3.9391798919787,7.93249127366849e-12,UP
25984,KRT23,keratin 23,6.64335472898381,1.22592475853331e-06,UP
653820,FAM72B,family with sequence similarity 72 member B,4.55033770979299,1.94064243492274e-09,UP
1301,COL11A1,collagen type XI alpha 1 chain,5.10935267500386,3.24304984450992e-08,UP
9099,USP2,ubiquitin specific peptidase 2,-4.0631052852218,4.72389876224911e-11,DOWN
66004,LYNX1,Ly6/neurotoxin 1,-4.60896150108358,3.41990504349763e-09,DOWN
1114,CHGB,chromogranin B,-3.96637164529727,1.93134518591986e-11,DOWN
3552,IL1A,interleukin 1 alpha,5.6158306049823,1.87887638715804e-07,UP
9211,LGI1,leucine rich glioma inactivated 1,-5.44273935775145,1.1824050946446e-07,DOWN
79776,ZFHX4,zinc finger homeobox 4,-4.59408613461634,3.9679748554832e-09,DOWN
6663,SOX10,SRY-box transcription factor 10,-4.50282329939365,2.621946352831e-09,DOWN
1811,SLC26A3,solute carrier family 26 member 3,-4.2634074305342,6.27523589332924e-10,DOWN
57126,CD177,CD177 molecule,-4.33497575619105,1.06947788376704e-09,DOWN
111188157,LYNX1-SLURP2,LYNX1-SLURP2 readthrough,-4.72763282365771,1.19130258456573e-08,DOWN
5239,PGM5,phosphoglucomutase 5,-3.90798086886694,2.9482667491066e-11,DOWN
5462,POU5F1B,POU class 5 homeobox 1B,3.66303287803634,1.31314403095519e-12,UP
1756,DMD,dystrophin,-3.71320575222958,3.30673157452133e-12,DOWN
5662,PSD,pleckstrin and Sec7 domain containing,-5.14392725992035,8.15581766420654e-08,DOWN
1830,DSG3,desmoglein 3,4.86705069190072,2.95093255180548e-08,UP
3741,KCNA5,potassium voltage-gated channel subfamily A member 5,-4.90293790136267,3.46395824122159e-08,DOWN
145741,C2CD4A,C2 calcium dependent domain containing 4A,4.01958121078452,1.43374341140236e-10,UP
2906,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,4.22553683998864,8.9650356256792e-10,UP
5317,PKP1,plakophilin 1,4.7813608122892,2.75347046280217e-08,UP
22866,CNKSR2,connector enhancer of kinase suppressor of Ras 2,-4.99827949711206,6.71687395965797e-08,DOWN
200931,SLC51A,solute carrier family 51 member A,-4.32550493601153,2.69134045471812e-09,DOWN
2596,GAP43,growth associated protein 43,-5.56666877627013,3.91537832669108e-07,DOWN
53353,LRP1B,LDL receptor related protein 1B,-4.58801308063286,1.24216569326667e-08,DOWN
115572,TENT5B,terminal nucleotidyltransferase 5B,-5.17900685241881,1.40673597012614e-07,DOWN
340706,VWA2,von Willebrand factor A domain containing 2,3.7760663356129,2.48671360514845e-11,UP
344,APOC2,apolipoprotein C2,3.91677788910109,1.16928041107138e-10,UP
7704,ZBTB16,zinc finger and BTB domain containing 16,-3.84033377207633,5.32309031461284e-11,DOWN
145270,PRIMA1,proline rich membrane anchor 1,-4.59756205261564,1.49317226034507e-08,DOWN
5350,PLN,phospholamban,-4.52740421738273,1.05374935128207e-08,DOWN
100533990,APOC4-APOC2,APOC4-APOC2 readthrough (NMD candidate),3.8994928993867,1.19735593689769e-10,UP
10580,SORBS1,sorbin and SH3 domain containing 1,-4.11906438499483,8.72694150215429e-10,DOWN
9080,CLDN9,claudin 9,4.83322672601928,4.90058367950647e-08,UP
220441,RNF152,ring finger protein 152,-3.63757929786914,6.11435854449482e-12,DOWN
2676,GFRA3,GDNF family receptor alpha 3,-3.79645327367629,4.79392779902191e-11,DOWN
1591,CYP24A1,cytochrome P450 family 24 subfamily A member 1,5.54991183946469,5.01710636487349e-07,UP
123264,SLC51B,SLC51 subunit beta,-3.58219872435697,4.16414674542085e-12,DOWN
