Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank,Gene_Symbol,Gene_Description
1469,2,9.73280605168105,7.83060454873723,11.6350075546249,1.14408305075133e-23,0.798900808016488,0.371422213165368,100.567876346665,1.14408305075133e-23,FALSE,1,CST1,cystatin SN
6273,1,8.99082274688101,7.09118805408695,10.8904574396751,1.75372949402682e-20,0,1,86.0507913326419,1.75372949402682e-20,FALSE,2,S100A2,S100 calcium binding protein A2
1800,1,8.14638845577781,6.44833153593348,9.84444537562214,5.30888669787934e-21,0,1,88.414180279841,5.30888669787929e-21,FALSE,3,DPEP1,dipeptidase 1
5354,-1,-8.16547411134783,-9.90431538836979,-6.42663283432587,3.45347597679072e-20,0,1,84.7108642168675,3.45347597679075e-20,FALSE,4,PLP1,proteolipid protein 1
11155,-1,-6.80600214133152,-8.10056884437134,-5.51143543829169,6.74262334083939e-25,0,1,106.17725168267,6.74262334083935e-25,FALSE,5,LDB3,LIM domain binding 3
92736,-1,-8.60199896001093,-10.7469275445588,-6.4570703754631,3.83462799056107e-15,0,1,61.7830408426655,3.83462799056105e-15,FALSE,6,OTOP2,otopetrin 2
6493,2,6.772588529377,5.45326249819304,8.09191456056095,8.19760091997078e-24,0.829426077616977,0.362438537145196,101.228150149051,8.19760091997067e-24,FALSE,7,SIM2,SIM bHLH transcription factor 2
5068,1,9.12697420453391,6.56684927628657,11.6870991327813,2.80086417643573e-12,0,1,48.823342840242,2.80086417643573e-12,FALSE,8,REG3A,regenerating family member 3 alpha
57167,2,6.72539689586424,5.31101751078861,8.13977628093986,1.16713145482123e-20,0.00382169146092154,0.9507063111201,86.8560719740002,1.16713145482123e-20,FALSE,9,SALL4,spalt like transcription factor 4
343,-2,-6.45489414318717,-7.76928147354631,-5.14050681282803,6.25299116027598e-22,9.81137375293943e-05,0.992096892855757,92.6462195591901,6.25299116027592e-22,FALSE,10,AQP8,aquaporin 8
4316,2,6.9176093154767,5.25090263159706,8.58431599935633,4.12742442336583e-16,1.62922239585005,0.201810635867278,66.1743813029317,4.12742442336579e-16,FALSE,11,MMP7,matrix metallopeptidase 7
144501,2,5.81106516315243,4.66711806243176,6.9550122638731,2.36713032604127e-23,1.18570495479368,0.276197632917176,99.1278733563388,2.36713032604125e-23,FALSE,12,KRT80,keratin 80
4312,2,6.06448607165947,4.7895788778173,7.33939326550165,1.12917091229086e-20,0.0489033674909527,0.824982601955161,86.9214664206866,1.12917091229086e-20,FALSE,13,MMP1,matrix metallopeptidase 1
222008,-1,-7.32151243740026,-9.22511031597307,-5.41791455882745,4.76120629817792e-14,0,1,56.8260365993456,4.76120629817792e-14,FALSE,14,VSTM2A,V-set and transmembrane domain containing 2A
3745,-1,-6.80373261312182,-8.44889387689208,-5.15857134935156,5.24722771960094e-16,0,1,65.7012612251186,5.24722771960101e-16,FALSE,15,KCNB1,potassium voltage-gated channel subfamily B member 1
1470,2,6.20546505836841,4.81010538162998,7.60082473510684,2.87232942090709e-18,1.29708097557005e-05,0.997126424134956,75.9753158180198,2.87232942090708e-18,FALSE,16,CST2,cystatin SA
22871,-1,-7.4521450854874,-9.48066832457459,-5.42362184640021,6.00888917886353e-13,0,1,51.8440368147902,6.00888917886352e-13,FALSE,17,NLGN1,neuroligin 1
2118,2,5.10367884562072,4.24199722067706,5.96536047056438,3.72114260163235e-31,0.150755261118253,0.697814646116174,134.762542053658,3.72114260163239e-31,FALSE,18,ETV4,ETS variant transcription factor 4
590,-1,-7.17220373067397,-9.08354576838449,-5.26086169296345,1.91421072303926e-13,0,1,54.0909480722801,1.91421072303927e-13,FALSE,19,BCHE,butyrylcholinesterase
282996,-1,-6.32088264756713,-7.82676914895904,-4.81499614617523,1.92200925527821e-16,0,1,67.6810606576449,1.92200925527822e-16,FALSE,20,RBM20,RNA binding motif protein 20
6750,-1,-6.29964773435866,-7.80316754923211,-4.79612791948522,2.17319896042394e-16,0,1,67.4388879399291,2.17319896042394e-16,FALSE,21,SST,somatostatin
5653,1,7.29871564811717,5.24312893720877,9.35430235902557,3.42233136815735e-12,0,1,48.4303344007414,3.42233136815735e-12,FALSE,22,KLK6,kallikrein related peptidase 6
1001,2,5.46230616090965,4.34408981458932,6.58052250722997,1.02740957231714e-21,0.225305022975765,0.635027149615508,91.6635316814962,1.02740957231715e-21,FALSE,23,CDH3,cadherin 3
1804,-1,-7.22786022896058,-9.27180842805008,-5.18391202987108,4.18250911182323e-12,0,1,48.0370028993917,4.18250911182324e-12,FALSE,24,DPP6,dipeptidyl peptidase like 6
645202,1,7.31666365850281,5.21964233677962,9.413684980226,8.00487864549067e-12,0,1,46.7645405843144,8.00487864549067e-12,FALSE,25,GOLGA6L24,golgin A6 family like 24
766,-1,-6.5622100049399,-8.31402630920677,-4.81039370067303,2.10551145905988e-13,0,1,53.9037901920621,2.10551145905987e-13,FALSE,26,CA7,carbonic anhydrase 7
101929705,2,5.56273156214229,4.3143328126876,6.81113031159697,2.47150435814813e-18,0.157882521376792,0.691113557228053,76.2721059704421,2.47150435814811e-18,FALSE,27,,
26353,-1,-5.94952240133251,-7.40053656777219,-4.49850823489283,9.25583248011259e-16,0,1,64.582831991519,9.25583248011252e-16,FALSE,28,HSPB8,heat shock protein family B (small) member 8
762,-2,-5.23147588670343,-6.35097254418481,-4.11197922922206,5.23655160044741e-20,0.489685558781229,0.484067602995719,83.8878445009049,5.23655160044739e-20,FALSE,29,CA4,carbonic anhydrase 4
100132202,1,7.05579514257172,4.94256418968772,9.16902609545572,5.98718554959673e-11,0,1,42.8246854373694,5.98718554959671e-11,FALSE,30,GOLGA6L25,golgin A6 family like 25
164832,-1,-6.42635863250868,-8.21607202712218,-4.63664523789518,1.95465921723518e-12,0,1,49.5289500728339,1.95465921723518e-12,FALSE,31,LONRF2,LON peptidase N-terminal domain and ring finger 2
728192,1,6.42122040663642,4.62431495144162,8.21812586183121,2.48919363115815e-12,0,1,49.0547291505499,2.48919363115815e-12,FALSE,32,,
110599563,2,5.66240793638762,4.24895175156488,7.07586412121037,4.10246184571712e-15,0.0218685101707074,0.882437430257116,61.6501005160116,4.10246184571713e-15,FALSE,33,LY6G6F-LY6G6D,LY6G6F-LY6G6D readthrough
266675,-1,-6.21277406796063,-7.92620069773145,-4.49934743818982,1.18848181353584e-12,0,1,50.5052212856247,1.18848181353584e-12,FALSE,34,BEST4,bestrophin 4
58530,2,5.61378959861974,4.20019937012923,7.02737982711025,7.04876016654329e-15,0.0252665036464107,0.873704794619671,60.5844788203428,7.04876016654328e-15,FALSE,35,LY6G6D,lymphocyte antigen 6 family member G6D
11082,1,6.657710391754,4.66833152817012,8.64708925533788,5.40719150737916e-11,0,1,43.0240195618734,5.40719150737916e-11,FALSE,36,ESM1,endothelial cell specific molecule 1
2980,-2,-5.16679572791349,-6.39095957215018,-3.9426318836768,1.31324464828513e-16,0.237446354802422,0.626056606201954,68.4320686832749,1.31324464828513e-16,FALSE,37,GUCA2A,guanylate cyclase activator 2A
57214,2,4.59425039846799,3.66736336463201,5.52113743230397,2.60641278271668e-22,0.00366136318273919,0.951750089408004,94.3782437846693,2.60641278271666e-22,FALSE,38,CEMIP,cell migration inducing hyaluronidase 1
4888,-1,-6.41550488995979,-8.33810810634841,-4.49290167357117,6.14475227211614e-11,0,1,42.7738688666571,6.14475227211611e-11,FALSE,39,,
5222,-1,-6.67780886101138,-8.76410846283226,-4.59150925919051,3.53168489977374e-10,0,1,39.3559862221732,3.53168489977374e-10,FALSE,40,PGA5,pepsinogen A5
547,-1,-7.17572710182604,-9.53969483752377,-4.81175936612832,2.69143178042166e-09,0,1,35.3952447715753,2.69143178042167e-09,FALSE,41,KIF1A,kinesin family member 1A
154064,2,5.27827533719967,3.90501881169625,6.65153186270309,4.94527438641571e-14,0.505470771241529,0.47710612534558,56.751444673398,4.94527438641575e-14,FALSE,42,RAET1L,retinoic acid early transcript 1L
4842,-1,-6.0487920703903,-7.85290015256917,-4.24468398821143,4.98631497900309e-11,0,1,43.1825604129023,4.9863149790031e-11,FALSE,43,NOS1,nitric oxide synthase 1
6329,-1,-6.17466514633419,-8.04771453183781,-4.30161576083057,1.03885226415868e-10,0,1,41.7469302975987,1.03885226415868e-10,FALSE,44,SCN4A,sodium voltage-gated channel alpha subunit 4
9076,2,4.56862251746661,3.53241111146463,5.6048339234686,5.55197312863786e-18,0.390973054691628,0.531788365939928,74.6741000064068,5.55197312863787e-18,FALSE,45,CLDN1,claudin 1
84141,2,4.92024146108949,3.68151716359101,6.15896575858796,6.97010104927938e-15,0.0586628089406717,0.808622045657757,60.6065694386665,6.97010104927933e-15,FALSE,46,EVA1A,"eva-1 homolog A, regulator of programmed cell death"
