sample,condition
GSM2367963,Cancer
GSM2367964,Normal
GSM2367966,Cancer
GSM2367967,Normal
GSM2367969,Cancer
GSM2367970,Normal
GSM2367974,Cancer
GSM2367975,Normal
GSM2367977,Cancer
GSM2367978,Normal
