sample,condition
GSM4053401,Cancer
GSM4053402,Cancer
GSM4053403,Cancer
GSM4053404,Cancer
GSM4053405,Cancer
GSM4053406,Cancer
GSM4053407,Cancer
GSM4053408,Normal
GSM4053409,Normal
GSM4053410,Normal
GSM4053411,Normal
GSM4053412,Normal
