Symbol,Module,Degree,Log2FC
TRIP13,3,45,2.391537615
CDCA2,3,45,1.813734012
SMC4,3,45,1.082691008
ECT2,3,45,2.212581516
RAD51AP1,3,44,2.222163731
SPC25,3,41,2.165701244
KNL1,3,39,1.719534536
CENPI,3,39,1.669851775
DTL,3,38,1.907712633
SKA3,3,37,2.105784295
ASF1B,3,36,1.359725922
CKAP2L,3,35,2.619968976
CENPH,3,34,1.649137222
NCAPG2,3,33,1.351026248
SMC2,3,32,1.126759051
SHCBP1,3,32,2.021411672
KIF18B,3,29,2.139752215
TROAP,3,28,2.446842306
KNTC1,3,28,1.540499454
MYBL2,3,27,2.891427138
CKS2,3,27,2.110883119
MND1,3,26,1.683030594
UHRF1,3,26,1.94176403
UBE2T,3,26,1.731857081
ERCC6L,3,25,2.729461733
CKAP2,3,25,2.214717966
SPC24,3,24,1.345028081
DEPDC1B,3,23,2.65144534
GTSE1,3,23,1.86998389
CCNF,3,22,1.603321965
KPNA2,3,22,1.404603001
NCAPD2,3,21,1.183727176
UBE2S,3,18,1.467976185
SGO2,3,17,1.931562099
ARHGAP11A,3,15,1.884154963
FBXO5,3,14,1.767369224
CDC25B,3,14,2.088399891
PKMYT1,3,11,2.111853041
HASPIN,3,11,1.632758662
PIMREG,3,10,1.912031844
STIL,3,10,1.429673828
BORA,3,10,1.647139681
SPDL1,3,9,1.308584179
KNSTRN,3,8,1.164307449
CDC14A,3,8,-1.394832181
PARPBP,3,7,2.37970125
KIF17,3,6,-2.55147165
IQGAP3,3,5,2.475342887
CPEB3,3,4,-1.407222013
CCNO,3,4,4.457767027
DIAPH3,3,4,2.484762915
AJUBA,3,2,2.102712567
CHMP4C,3,2,1.462355922
WDR62,3,2,1.667643981
RCN1,3,1,1.15146453
KCTD9,3,1,-1.434152837
SVIL,3,1,-2.448770129
TDP2,3,1,-1.192450096
PHLDA1,3,1,2.100963721
MTFR2,3,1,2.137806955
PAQR5,3,1,-1.486616058
DDIAS,3,1,2.067475136
ARHGAP11B,3,1,1.752727677
MYC,4,63,1.560274065
FOS,4,22,-2.083678995
AR,4,19,-2.313252718
PGR,4,14,-3.23254248
NR3C1,4,13,-1.684064959
EGR1,4,12,-1.635627975
LEF1,4,12,3.555626563
FKBP5,4,11,-1.450037647
ATF3,4,10,-1.730057888
PBX1,4,10,-1.500133433
EPAS1,4,9,-1.123140649
LGR5,4,9,3.491956272
KLF4,4,9,-2.722606151
FZD10,4,8,3.802424951
DUSP1,4,8,-2.025900074
FOSB,4,8,-2.762170187
JUND,4,8,-1.380268655
AXIN2,4,8,2.227034738
NR3C2,4,8,-2.878654657
CYP24A1,4,7,5.549911839
APC,4,7,-1.10593207
TCF7,4,7,3.012370806
WNT3,4,6,2.48594339
TCF7L1,4,6,-2.481154228
CA2,4,6,-4.776706422
RNF43,4,6,2.839442462
SFRP1,4,5,-3.651126198
SOX4,4,5,2.029078389
MEF2D,4,5,-1.053734744
CTNND2,4,5,-4.494062846
HSD11B2,4,5,-1.769823737
ZBTB16,4,5,-3.840333772
MEF2C,4,5,-2.777320392
TSC22D3,4,5,-1.45414137
WNT5B,4,5,-1.861424017
ZNRF3,4,5,1.32069085
ZFP36,4,5,-1.395421772
SLC9A3,4,4,-2.949783209
JDP2,4,4,-1.098387948
WNT9A,4,4,-3.256955934
RSPO2,4,4,-3.821398407
ARNT2,4,4,-1.593073146
MAPK7,4,4,-1.147737307
WLS,4,4,-1.397107547
LGR6,4,4,2.677986073
CA1,4,4,-6.800185357
CA9,4,4,4.360111624
NOTUM,4,4,5.678293388
SLC4A4,4,4,-4.946570645
CYP27B1,4,3,1.984715093
KLF2,4,3,-1.685387618
SLC7A5,4,3,1.853793271
PKNOX2,4,3,-3.530674638
MXI1,4,3,-1.671690719
MYB,4,3,1.703378141
SLC26A3,4,3,-4.263407431
HIF3A,4,3,-1.710279663
SLC7A1,4,3,1.208836035
NFE2L3,4,2,2.882442605
CA12,4,2,-2.124631765
TGFBR3,4,2,-1.528841202
HOXB8,4,2,2.852493944
SLC7A11,4,2,2.491106134
BTG2,4,2,-1.594884186
CIP2A,4,2,1.827243637
HPGD,4,2,-2.548904752
CA4,4,2,-5.231475887
HOXB2,4,2,-1.741781831
CA7,4,2,-6.562210005
HOXB9,4,2,1.608564085
TRIB3,4,2,3.505777328
TXNIP,4,2,-1.444945939
CHP1,4,2,-1.681173612
SLC9A2,4,1,-2.030471032
PBX4,4,1,1.81634719
SIM2,4,1,6.772588529
PPARGC1B,4,1,-1.727886976
MAB21L2,4,1,-2.967985578
ZMIZ1,4,1,-1.167880803
PMEPA1,4,1,1.63909525
HILPDA,4,1,1.985685756
CITED2,4,1,-2.04498084
VENTX,4,1,2.11520202
DCLK1,4,1,-3.338310469
SLCO2A1,4,1,-2.157395735
NPAS3,4,1,-4.570476974
KLF9,4,1,-2.613025801
PRKACB,5,42,-1.868070606
GNG2,5,35,-1.558491316
CACNA1C,5,31,-2.633418327
GNAI1,5,30,-1.759844857
GNAQ,5,28,-1.305183393
ADCY5,5,24,-3.699359379
PRKCB,5,24,-2.081698719
CALM1,5,24,-1.13160398
ADCY9,5,23,-2.105223375
CAMK2A,5,23,-3.565665895
ITPR1,5,21,-1.555536449
RYR2,5,21,-3.285796247
GCG,5,20,-4.194948703
CAMK2B,5,18,-4.362116606
ADCY6,5,17,-1.137143322
CAV1,5,17,-2.766349815
PPP2CB,5,16,-1.209820922
SST,5,16,-6.299647734
RYR1,5,16,-2.270776093
GNG4,5,16,2.832448162
NOS1,5,15,-6.04879207
PLCB4,5,14,1.598094491
GNG7,5,14,-2.561354117
ANK2,5,13,-4.423818533
GRIN1,5,13,-3.520922534
PRKG1,5,13,-1.371689216
SLC9A1,5,12,-1.774078731
GNAL,5,12,-2.121660388
PLN,5,12,-4.527404217
SCN4B,5,11,-2.123401322
PPP2R2B,5,11,-5.277205557
CACNA1A,5,11,-4.010028756
GNA11,5,10,-1.641978394
CHGA,5,10,-4.362025995
PRKG2,5,10,-4.077184189
PPP2R3A,5,10,-2.08258957
CACNB2,5,10,-2.049929455
CNR1,5,10,-5.038498654
ARRB1,5,10,-1.328471811
EDNRA,5,9,1.583854326
HTR1D,5,9,3.475718936
GNA14,5,9,-1.540655797
GNA13,5,9,-1.139521025
ADGRL3,5,9,-2.495822824
PLCD1,5,9,-1.811800129
GNAO1,5,8,-4.109334684
KCNMA1,5,8,-5.153146205
PYY,5,8,-3.743433046
VIP,5,8,-3.358140207
INPP5A,5,8,-1.084048716
LPAR1,5,8,-1.97343547
STIM1,5,8,-1.091068344
KCNQ1,5,7,1.769233908
CASQ2,5,7,-5.804495872
PTGER4,5,7,-1.592110967
MOCS1,5,7,-1.259530481
PDE4D,5,7,-1.896568867
ATP1A2,5,7,-5.787148223
ADRB1,5,7,-2.287422849
PDX1,5,7,3.990867925
PLCD4,5,7,-2.288367589
CAMK2D,5,7,-1.501567205
BDKRB2,5,7,-1.639488461
KCNA2,5,7,-2.506715151
PDE6A,5,6,-2.916733482
ITPKA,5,6,-1.558716493
GRIN2D,5,6,4.22553684
PRKAR2B,5,6,-2.417399647
DRD5,5,6,-2.662940889
PMCH,5,6,2.573433692
EDN3,5,6,-2.692369424
MAGI2,5,6,-2.507855678
PDE5A,5,6,-2.174572444
RAP1A,5,6,-1.399323843
PLCE1,5,6,-2.184831787
DLG2,5,6,-3.230491157
CACNB1,5,6,-1.957765163
NRXN1,5,6,-5.292303743
SPTBN2,5,6,2.441185925
PLCD3,5,6,-1.83844347
KCNN3,5,6,-2.929367699
KCNN4,5,6,2.388134958
SLC8A1,5,6,-3.557136917
PLEK2,5,5,1.249126401
P2RX1,5,5,-2.144858007
KCNN2,5,5,-3.267541653
DGKG,5,5,-2.851718749
NKD1,5,5,3.416540384
GPD1L,5,5,-1.264202144
SCNN1G,5,5,-2.697460805
TACR1,5,5,-2.537854585
CAMK2G,5,5,-1.199448971
CNTN2,5,5,-4.358881586
VAPA,5,5,-1.117167702
SCNN1B,5,5,-4.427513579
SGK1,5,5,-2.941931864
ITPKB,5,5,-1.519377725
SCN7A,5,5,-4.718139008
RYR3,5,5,-3.806306495
TRPC4,5,5,-2.784391915
ADCYAP1R1,5,5,-6.088306097
NMU,5,4,3.551574344
APBA1,5,4,-1.71085524
NEUROD1,5,4,-2.746634191
LRRC7,5,4,-3.610997049
SPTBN5,5,4,1.447111452
VIPR1,5,4,-1.407140784
PDE2A,5,4,-3.167716392
P2RX4,5,4,-1.368623776
NPY1R,5,4,-2.560498734
FFAR4,5,4,-1.923046233
CHGB,5,4,-3.966371645
HSPA2,5,4,-2.73246985
SPTBN4,5,4,-2.813531306
FXYD1,5,4,-5.147557107
GPER1,5,4,-2.632569247
SCN4A,5,4,-6.174665146
SPTB,5,4,-2.609599407
GNAZ,5,4,-2.13904181
KRT20,5,3,-2.535655995
KCNA5,5,3,-4.902937901
GLP2R,5,3,-4.264132391
PPP1R12C,5,3,-1.105249365
PDE9A,5,3,-2.302307184
SCG2,5,3,-4.74915611
PDE7B,5,3,-2.241299171
KCND3,5,3,-2.415194292
FFAR3,5,3,-3.247922108
ARHGEF25,5,3,-3.309135946
SSTR2,5,3,-2.281585145
LGI1,5,3,-5.442739358
NLGN4X,5,3,-2.929267429
PDE8A,5,3,-1.198270352
JPH4,5,3,-3.288908778
