ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0010594,regulation of endothelial cell migration,159,-0.441965362659259,-1.46273972827003,0.00784456828149952,0.0526975684098905,0.0318740431627172,3439,"tags=35%, list=20%, signal=28%",1950/9353/2896/6237/6672/9982/1647/9564/5293/284/168667/7026/2324/506/57608/2624/2246/207/3162/575/90627/5641/10000/57381/5578/27086/388/493/3315/3690/23328/407004/55333/9734/25/682/7010/7049/94/5025/153090/634/2549/8613/84913/2822/5797/22915/498/4208/9314/4223/5764/2247/2260,0.380730400722792
GO:0021953,central nervous system neuron differentiation,89,-0.483155081324219,-1.46257167498658,0.0170870958441387,0.0901597391129688,0.0545329794664061,3569,"tags=44%, list=21%, signal=35%",26128/25987/4858/9353/567/23334/1436/113246/266727/25942/5728/57688/85358/8543/2043/5578/5048/64398/9723/4929/2909/4967/79625/4760/4781/57178/57704/26038/57731/339479/9760/93986/4915/4133/4137/650/6422/2263/9378,0.352487857583619
GO:0034764,positive regulation of transmembrane transport,133,-0.456096654910575,-1.46251735215217,0.00538178467409465,0.0411902738467817,0.0249138737534245,2487,"tags=31%, list=14%, signal=27%",65268/23596/2316/207/483/55625/8013/57463/53826/5295/9495/487/7225/5532/2258/342667/3643/6622/388581/25999/6786/55600/5906/6769/5025/5797/857/6717/2902/783/65267/11261/2273/5023/2852/10580/117/287/4842/760/5348,0.407017918923954
GO:0034198,cellular response to amino acid starvation,53,-0.530524828436582,-1.46192017598807,0.0343209274630858,0.147146908554353,0.0890015812122668,3635,"tags=36%, list=21%, signal=28%",26001/7351/23334/9681/7942/8678/64121/2475/355/151556/201163/51128/51100/652968/5595/467/83667/1026/220441,0.321775918075361
GO:0009411,response to UV,123,0.440913779119498,1.46182927287522,0.00749437709622389,0.0511075799875519,0.0309123411121093,2392,"tags=20%, list=14%, signal=18%",4312/4314/51514/9212/92815/4157/4609/4318/79913/5111/4869/9768/545/7076/5424/4436/8451/10856/2237/7398/23028/8372/595/2876/54929,0.407017918923954
GO:1901654,response to ketone,168,-0.448909805999495,-1.46177421271583,0.0039098495089724,0.0324485929181488,0.0196264814952714,2045,"tags=29%, list=12%, signal=25%",358/55809/1646/6586/8031/5578/23558/27086/57630/114131/10481/3158/610/4916/6869/5105/5071/8648/2770/112/7049/6338/5906/120892/6340/5734/367/3727/7832/2776/857/2354/54331/111/10628/498/2353/2908/6422/4747/9607/1843/2247/5729/11251/5350/6663/687,0.407017918923954
GO:2000181,negative regulation of blood vessel morphogenesis,91,-0.480326680487002,-1.4617548218172,0.021885265434819,0.108925986643409,0.0658837154080521,1926,"tags=23%, list=11%, signal=21%",4881/30832/22905/9723/3339/10516/493/5140/23166/7122/55333/7010/10365/153090/5797/11126/6833/9510/57556/9314/577,0.352487857583619
GO:0043247,telomere maintenance in response to DNA damage,30,0.558911025855462,1.46107294212524,0.0422334312599812,0.169452634092948,0.102493164980665,2966,"tags=37%, list=17%, signal=30%",149840/86/1017/51750/10856/10459/8607/65057/112441434/55183/64858,0.321775918075361
GO:0010508,positive regulation of autophagy,150,-0.455288621509621,-1.46097995133596,0.00599175894418154,0.044079548277721,0.0266614469470182,4004,"tags=29%, list=23%, signal=23%",79156/53373/112574/5305/22930/8408/4210/9517/9528/10645/401548/3099/55062/26086/9681/154/7942/10855/8678/9531/10133/326624/140775/6093/201163/51100/10241/79594/10346/2308/55187/572/5563/94241/83667/5071/120892/1612/291/7957/65018/79443/220441/26353,0.407017918923954
GO:0034219,carbohydrate transmembrane transport,90,-0.48308195653275,-1.4607648055589,0.0215714145946332,0.107912148925323,0.0652704972243415,2457,"tags=30%, list=14%, signal=26%",23596/207/51422/9963/55625/8013/358/364/5295/26503/282679/53916/5467/51548/3643/388581/25999/55600/5906/338557/5797/55022/55198/5579/9607/10580/6517,0.352487857583619
GO:0003205,cardiac chamber development,88,-0.477785291338899,-1.46061306012718,0.0228834109867449,0.112277704323945,0.0679109966895657,2005,"tags=28%, list=12%, signal=25%",6586/55742/6899/23462/4853/9464/4089/23414/6331/4625/1363/7168/2702/4092/7010/7049/10370/6262/653/650/4208/2294/2263/5138/287,0.352487857583619
GO:0010824,regulation of centrosome duplication,49,0.506419534284093,1.4594543825493,0.0398027325145568,0.162225824073306,0.0981220400607604,2410,"tags=35%, list=14%, signal=30%",6491/899/10733/92421/4869/2648/91147/163786/348654/80071/282809/5314/55835/672/55226/221908/85459,0.321775918075361
GO:0008361,regulation of cell size,125,-0.462204465955169,-1.45922582571539,0.0133460944084811,0.0760158361754381,0.0459780615390066,2903,"tags=26%, list=17%, signal=22%",80128/5728/57142/85358/2475/9368/4478/6560/23499/7431/51704/358/5048/10439/1954/4131/56963/282679/5802/3897/2258/2909/80031/1630/25/65267/6387/4133/4137/2045/1946/9423/3778,0.380730400722792
GO:0044088,regulation of vacuole organization,54,-0.510459261744252,-1.45843700382485,0.0384918386892956,0.158939494000686,0.0961343083732776,4416,"tags=50%, list=25%, signal=37%",79142/5899/64112/57192/112574/5305/22930/8408/2896/401548/9638/55062/7942/8678/140775/2475/950/201163/26471/51100/81876/5532/8897/9637/4534/120892/65018,0.321775918075361
GO:0003018,vascular process in circulatory system,199,-0.435460646324785,-1.45775024445046,0.00495049056483005,0.038816641048586,0.0234781856079363,1926,"tags=26%, list=11%, signal=23%",4881/54795/2150/114134/9429/5029/6542/5467/493/222962/654/1910/3643/554/490/5139/2702/8850/6869/7122/153/477/25/7010/5592/1889/6505/112/9194/10365/634/2549/9839/8671/857/9153/5028/624/3043/489/6833/55640/79987/6546/6584/1908/5138/2852/3778/6517/4842/6865,0.407017918923954
GO:0060560,developmental growth involved in morphogenesis,149,-0.446652195883713,-1.45711144259307,0.00835914561030122,0.0550841456248325,0.0333175607187557,2297,"tags=28%, list=13%, signal=24%",23327/9699/9362/23499/7431/79594/6586/5048/10439/1954/4131/6285/56963/5802/2255/5532/63923/3897/144165/2258/54413/80031/1630/5071/25/57699/682/5592/22999/23769/6387/4133/4137/144402/2045/1946/2263/9201/1908/5523/9423,0.380730400722792
GO:0001909,leukocyte mediated cytotoxicity,107,0.447643858325935,1.45693838645171,0.0178646808055854,0.0932580761769367,0.0564070038718856,1483,"tags=11%, list=9%, signal=10%",154064/80328/563/3500/79465/1512/1773/3002/2214/81607/5272/4843,0.352487857583619
GO:0046879,hormone secretion,210,-0.434153032567802,-1.45614936735374,0.00407888347355084,0.0333923078795708,0.0201972860375171,2113,"tags=25%, list=12%, signal=22%",90007/222546/1393/6453/5578/54795/3033/6571/4826/2308/5532/5467/654/51548/572/114131/1408/8447/6934/9854/8622/4760/5566/818/6869/5071/5864/7432/338557/2822/2865/2775/2776/2781/3572/5028/6717/1374/84417/5567/111/9971/2641/6833/1946/9607/1908/3570/1113/3741/2852/6865/3745,0.407017918923954
GO:0045063,T-helper 1 cell differentiation,33,0.536498818438594,1.45551381102969,0.0451933869500029,0.176898527273382,0.106996802013252,3231,"tags=33%, list=19%, signal=27%",51176/941/5688/5698/3146/5683/5682/5686/5691/5690/5696,0.321775918075361
GO:0106106,cold-induced thermogenesis,131,-0.449247399345717,-1.45531973803608,0.0138890728631379,0.0781992052581654,0.0472986689689679,3560,"tags=31%, list=21%, signal=25%",948/7351/4858/283455/7253/3600/2271/216/154/3953/170394/11096/5565/3566/9658/51043/201163/7376/3033/3606/63976/5608/57406/51548/55366/2034/153/133522/324/10891/338557/79071/857/5334/9927/1376/55198/23228/4857/43/51316,0.380730400722792
GO:0010907,positive regulation of glucose metabolic process,36,-0.558050210429401,-1.4552337045664,0.0448892285253875,0.176494237640286,0.106752268050788,2386,"tags=28%, list=14%, signal=24%",207/51422/9878/2308/3643/5566/10891/2822/2641/10580,0.321775918075361
GO:0043266,regulation of potassium ion transport,57,-0.516040555176093,-1.45498837600318,0.0302301934849884,0.136274668996759,0.082425523845849,2972,"tags=42%, list=17%, signal=35%",9472/3759/967/30819/3755/5999/2316/7881/23327/483/57463/88/57628/80333/51719/845/857/3781/6833/2273/30818/287/4842/1804,0.352487857583619
GO:0046209,nitric oxide metabolic process,67,-0.502712831347896,-1.45481197317659,0.0327037109857676,0.143085851596357,0.0865452571602994,1548,"tags=18%, list=9%, signal=16%",493/3643/10365/5025/1727/54996/857/3043/1139/9314/1191/4842,0.321775918075361
GO:0071389,cellular response to mineralocorticoid stimulus,10,-0.738813749845621,-1.45477443542627,0.0490566037735849,0.184606092817626,0.111658711172435,1155,"tags=40%, list=7%, signal=37%",610/6338/6340/2852,0.282013350011725
