ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,131,-0.50544841280404,-1.6383279714991,0.00198642553085654,0.00739377578470765,0.00322227332023837,2062,"tags=34%, list=12%, signal=30%",26548/8786/5158/5540/3699/3779/2811/4929/2813/9127/140460/10753/4524/5030/23031/4625/1630/5164/57451/54855/83439/5071/7367/9194/22849/6261/7832/7068/6262/1158/3291/1271/6446/6414/23676/9073/9499/8647/57016/79085/6663/11346/7704/4842,0.431707695803346
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,0.499463512147069,1.63058672181347,0.00207025721971814,0.00739377578470765,0.00322227332023837,3079,"tags=31%, list=18%, signal=26%",29968/1736/11260/56915/10797/4869/8140/7422/1662/3014/30001/64859/10528/440/1163/3376/9136/58477/54541/55651/1978/55738/23404/4800/55033/8614/54512/6208/8602/6509/9221/11015/7184/10130/10113,0.431707695803346
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,184,-0.487207395603376,-1.62804752225721,0.000208306823084137,0.000946849195836988,0.000412645310173593,2925,"tags=33%, list=17%, signal=27%",10133/4259/23530/23608/847/51646/3029/645/51573/5526/80344/23002/9663/286/10840/831/220972/3321/1193/56674/8991/8031/4778/9429/7504/55544/10422/2995/210/51257/4329/7145/118/5091/9911/6622/2145/8850/54855/682/51092/26020/8780/3045/66008/759/7832/4779/2235/6535/3043/80148/23052/4601/6710/2908/2532/1510/760/55532,0.518848077743792
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,150,0.456501873551105,1.54277377870047,0.00312035964512592,0.0104011988170864,0.0045329350554708,3937,"tags=37%, list=23%, signal=29%",10309/51497/5984/5983/8480/11130/3978/5111/5422/4830/9533/51082/5557/3251/5424/7372/11047/6431/3704/30834/6895/2237/23649/552900/100/5436/23204/65109/5982/155382/10189/1854/10134/5440/286075/5985/4350/11051/3615/10946/6749/1479/10623/5888/353/1716/4860/5433/29927/22916/2073/10959/5423/2965/7298,0.431707695803346
HALLMARK_COAGULATION,HALLMARK_COAGULATION,116,0.44622937988285,1.49065642188175,0.0127103833816701,0.0334483773201846,0.0145771006563406,596,"tags=13%, list=3%, signal=13%",4312/4316/4320/344/4314/3673/5328/4319/4973/1512/341/629/717/4485/4318,0.380730400722792
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,188,0.424801098539899,1.46051062026133,0.00647587736988554,0.0202371167808923,0.00881951568189134,2924,"tags=28%, list=17%, signal=24%",6662/9080/983/7045/6790/1058/4233/1944/55635/3161/140838/5373/10112/6676/10007/960/7422/2584/5230/30001/5033/5478/90161/54541/3925/2023/4282/79586/7264/55139/6382/6120/51728/26330/2530/8614/126792/5631/50814/26035/56052/6888/9653/8870/4678/375790/5315/55276/7852/11015/7295/22976/3939,0.407017918923954
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,193,-0.43503274452603,-1.44621071741545,0.0104347065752199,0.0289852960422776,0.0126320500967064,2751,"tags=30%, list=16%, signal=25%",8800/51195/7071/5914/5174/57419/1366/79875/9368/645/23596/11098/347733/573/8204/26018/55793/107/2317/10395/10439/7074/5029/65055/2683/6542/3705/28966/8839/7869/399665/6505/5979/54463/596/367/863/5241/9060/6840/4299/3572/2289/23052/6387/771/4137/4886/2353/9314/56603/6584/9145/115/2674/1836/26353,0.380730400722792
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,190,-0.41435690722265,-1.38734672933001,0.0179631081662327,0.0438052675502168,0.019090725635055,1194,"tags=18%, list=7%, signal=17%",1363/3158/7869/7538/399665/5577/5979/596/5241/9060/7177/857/4299/3572/2289/27250/1152/7263/6387/9215/771/4137/4886/2353/6446/9314/7358/56603/6584/9455/57758/2852/760/1836/26353,0.352487857583619
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,98,-0.451061922000268,-1.37440224058202,0.0492610837438424,0.0985221674876847,0.0429368378202959,2047,"tags=22%, list=12%, signal=20%",25803/8031/10611/6722/10788/2683/6675/7113/4094/57178/9218/23171/2289/9510/3977/6446/6414/3248/9455/11099/8611/1836,0.261663521711573
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,176,-0.412058460028718,-1.37164855318496,0.018398212371091,0.0438052675502168,0.019090725635055,2564,"tags=30%, list=15%, signal=25%",645/355/3398/7498/3931/6560/9663/128/3162/29950/51128/115817/2099/1528/22949/7132/1646/10611/53/5372/4121/23169/2953/2052/5467/978/3700/225/57406/5091/1891/5166/316/2168/84913/51/57447/23710/9060/50/4128/65018/4502/126/2110/7358/4355/957/54884/3294/2651/760,0.352487857583619
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,95,-0.44642346358659,-1.36272245066003,0.0467625899280576,0.0977967919040172,0.0426207126822793,3181,"tags=31%, list=18%, signal=25%",5824/54677/216/10133/6342/19/847/8800/2053/5825/55825/9963/5827/5264/654/225/8630/51170/6256/4306/367/9971/23460/55670/27284/10350/7276/10351/54884,0.282013350011725
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,188,0.375216922151909,1.29003503425065,0.0469424601139283,0.0977967919040172,0.0426207126822793,1511,"tags=16%, list=9%, signal=15%",3624/3552/3576/2069/8519/4233/6372/3627/4973/27074/6373/4283/3604/3553/4609/4891/8767/3656/3976/6541/4061/6367/6364/5008/4323/7076/64127/11047/3732/2867,0.321775918075361
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,192,0.359221409730332,1.25732554269051,0.0411097031046959,0.0934311434197634,0.0407181242016487,1097,"tags=14%, list=6%, signal=13%",2118/4320/3624/6662/3673/2069/5328/4319/3627/3783/629/2048/56729/3553/57332/7139/4318/3976/8431/26499/8808/9949/30001/6364/80201/4613,0.321775918075361
