ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1221632,Meiotic synapsis,27/1293,70/9301,0.385714285714286,2.77457739476301,5.98822753666969,2.46741652177554e-07,1.26774159222261e-05,1.26774159222261e-05,H2BC15/SYCP2/H2BC10/H2BC9/SYNE1/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H2BC14/H2AC19/H4C9/SUN2/ATR/H4C12/H4C14/H4C15/HSPA2/H2BC11/H2AX/H2BC8/LMNB1/H2AC8/H2AC18/H2BC6/H2BC7,27
R-HSA-73886,Chromosome Maintenance,42/1293,137/9301,0.306569343065693,2.20526021643775,5.71054120116934,2.85767197722666e-07,1.41931041535591e-05,1.41931041535591e-05,CENPH/CENPN/H2BC15/BLM/H2BC10/H2BC9/POLA1/H4C11/CENPI/CENPA/H2BC17/H2BC26/H2BC13/DSCC1/H2AC14/CDK2/LIG1/CENPW/H2BC14/H2AC19/RFC4/H4C9/DKC1/H4C12/RFC3/H4C14/HJURP/H4C15/H2BC11/H2AX/H2BC8/NPM1/CENPK/H2AC8/H2AC18/H2BC6/KNL1/PCNA/CHTF18/RTEL1/CCNA2/H2BC7,42
R-HSA-418594,G alpha (i) signalling events,58/1293,216/9301,0.268518518518519,1.93154736329524,5.56606219935972,2.9738022340784e-07,1.42934365444413e-05,1.42934365444413e-05,GPR37L1/LPAR1/CHRM4/CCL13/GNG2/HTR1D/CCL20/ADCY9/CXCL12/KPNA2/BDKRB2/CAMK2G/CXCL5/GNG7/PRKAR2B/CXCL9/CAMK2D/CAMK2B/PMCH/CAMK2A/ITPR1/TAS2R46/GPSM2/ADCY5/NPY1R/CXCL8/NMU/GPER1/GNAL/P2RY14/CCL23/PYY/OXGR1/PLCB4/GNA14/AGT/CXCL6/PRKACB/SST/GNA11/GRM8/CALM1/RGS9/CCL4L2/GNG4/CXCL10/GNAI1/CNR1/CXCL11/PDE4D/GNAZ/SSTR2/GNAQ/PPP2CB/PTGDR2/ADCY6/CXCL1/GPR17,58
R-HSA-3214815,HDACs deacetylate histones,32/1293,92/9301,0.347826086956522,2.5020343656478,5.81763206418313,3.2276799340913e-07,1.50288846931126e-05,1.50288846931126e-05,H2AC16/H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC25/H2AC14/H2AC15/H3C7/H2BC14/H2AC19/H4C9/H2AC11/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H2AC17/H3C2/H2BC8/H2AC12/H2AC8/H2AC18/H2BC6/H2AC13/H2BC7/H3C12,32
R-HSA-73772,RNA Polymerase I Promoter Escape,31/1293,88/9301,0.352272727272727,2.53402060043591,5.80965973199283,3.5623859463019e-07,1.60847123029995e-05,1.60847123029995e-05,H2BC15/H2BC10/H2BC9/H4C11/TAF1D/CBX3/H2BC17/H2BC26/H2BC13/H2AC14/POLR1C/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/POLR1B/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/POLR1D/H2BC7/H3C12,31
R-HSA-9821993,Replacement of protamines by nucleosomes in the male pronucleus,18/1293,37/9301,0.486486486486487,3.49946698438578,6.12107495762907,4.28235267203947e-07,1.87667808274671e-05,1.87667808274671e-05,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2BC14/H4C9/H4C12/H4C14/H4C15/H2BC11/H2AX/H2BC8/H2BC6/SRPK1/H2BC7,18
R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,28/1293,76/9301,0.368421052631579,2.650181137298,5.80408724170349,4.53986691736179e-07,1.93268620196259e-05,1.93268620196259e-05,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/CDK2/H2BC14/H2AC19/H4C9/H1-5/H4C12/CDKN1A/HMGA1/H4C14/H4C15/RB1/H2BC11/H2AX/H2BC8/LMNB1/H2AC8/H2AC18/H2BC6/CCNA2/H2BC7,28
R-HSA-9843970,Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex,26/1293,68/9301,0.382352941176471,2.75039807106137,5.82101299899074,5.02924318395591e-07,2.08154787335953e-05,2.08154787335953e-05,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,26
R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,31/1293,90/9301,0.344444444444444,2.47770903153734,5.66024846650383,6.29450223189759e-07,2.53481306095335e-05,2.53481306095335e-05,H2BC15/H2BC10/H2BC9/H4C11/TCF7/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/TCF7L1/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/LEF1/AXIN2/MYC/H2BC7/H3C12,31
R-HSA-427389,ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,27/1293,73/9301,0.36986301369863,2.6605536662111,5.72320440963768,6.63862722589628e-07,2.60304067541722e-05,2.60304067541722e-05,H2BC15/H2BC10/H2BC9/H4C11/CBX3/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,27
R-HSA-171306,Packaging Of Telomere Ends,21/1293,49/9301,0.428571428571429,3.0828637719589,5.87380870619427,6.85292205385449e-07,2.61816765647261e-05,2.61816765647261e-05,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H2BC14/H2AC19/H4C9/H4C12/H4C14/H4C15/H2BC11/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7,21
R-HSA-69002,DNA Replication Pre-Initiation,43/1293,147/9301,0.292517006802721,2.10417686022592,5.42213790853189,8.68424372726979e-07,3.234880788408e-05,3.234880788408e-05,RPA4/H2BC15/MCM7/H2BC10/H2BC9/POLA1/H4C11/H2BC17/H2BC26/CDC6/H2BC13/H2AC14/CDK2/MCM10/CDC7/H3C7/H2BC14/H2AC19/MCM4/H4C9/DBF4/UBE2C/UBE2S/H3C8/ORC6/H4C12/H4C14/H4C15/H3C11/H2BC11/MCM2/H3C2/H2AX/H2BC8/ORC1/H2AC8/H2AC18/CDT1/CDC45/H2BC6/PSMA7/H2BC7/H3C12,43
R-HSA-5578749,Transcriptional regulation by small RNAs,27/1293,74/9301,0.364864864864865,2.62460023828933,5.63781494634489,9.08563039401447e-07,3.30185104562965e-05,3.30185104562965e-05,H2BC15/H2BC10/H2BC9/RAN/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,27
R-HSA-5578775,Ion homeostasis,20/1293,46/9301,0.434782608695652,3.12754295705975,5.81229630962353,9.5534105296078e-07,3.3891861164561e-05,3.3891861164561e-05,RYR1/CAMK2G/DMPK/CAMK2D/CAMK2B/CAMK2A/ITPR1/ATP1A2/NOS1/CASQ2/RYR2/RYR3/PLN/ATP2A3/SRI/TNNI3/CALM1/FXYD1/STIM1/SLC8A1,20
R-HSA-372790,Signaling by GPCR,103/1293,474/9301,0.217299578059072,1.56311165934062,5.05656776327368,1.26228770719026e-06,4.37397368305461e-05,4.37397368305461e-05,GNA13/GPR37L1/PTGDR/ARHGEF26/LPAR1/EDNRA/CHRM4/CCL13/GNG2/HTR1D/CCL20/ADCY9/CXCL12/KPNA2/BDKRB2/CAMK2G/CXCL5/GNG7/MMP3/PRKAR2B/CXCL9/CAMK2D/ADCYAP1R1/MAPK7/GPR143/CCL11/CAMK2B/WNT3/TACR2/PMCH/CAMK2A/ADRB1/ITPR1/TAS2R46/GPSM2/DGKG/MGLL/ADCY5/NPY1R/CXCL8/NMU/FFAR3/GPER1/GNAL/CCL3/P2RY14/CCL23/PYY/OXGR1/TACR1/PLCB4/ARHGEF25/PDE8A/GNA14/AGT/CCL3L3/CXCL6/PDE7B/PRKACB/SST/ARRB1/CCL22/EDN3/PDE3A/ACKR2/GNA11/WNT9A/P2RY1/GRM8/DRD5/ACKR1/CALM1/ECT2/RGS9/CCL4L2/GNG4/MC1R/PDE2A/ECE1/CXCL10/ARHGEF19/GNAI1/CNR1/CXCL11/ARHGEF37/PDE4D/SHH/PRKCB/GNAZ/SSTR2/GNAQ/FZD10/PPP2CB/PTGER4/PTGDR2/ADCY6/CXCL1/VIPR1/GCG/GPR17/VIP/GLP2R/FFAR4,103
R-HSA-211859,Biological oxidations,46/1293,167/9301,0.275449101796407,1.98140146620911,5.14224943223835,2.33809993449142e-06,7.91765659634595e-05,7.91765659634595e-05,ARNT2/CES3/MAOB/GGCT/HPGDS/UGP2/AHCY/ADH1B/NR1H4/UGT2B15/SULT1B1/PTGS1/ADH1A/UGT1A5/MAT1A/CYP26B1/CES2/CYP39A1/SULT1C2/CYP24A1/CYP4F12/CYB5R3/CYP27B1/MAOA/SMOX/UGT1A8/GSTM5/UGT1A1/CYP21A2/RXRA/CMBL/CYP19A1/CYP2B6/UGT1A3/DPEP1/MTARC2/GGT6/UGT2B17/CYP2S1/SULT1A2/SULT2B1/UGT1A4/ADH1C/UGDH/CYP4F3/UGT1A10,46
R-HSA-1912422,Pre-NOTCH Expression and Processing,34/1293,109/9301,0.311926605504587,2.24379687378048,5.24851456228703,2.48098533224181e-06,8.11158383709905e-05,8.11158383709905e-05,KAT2A/H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/POFUT1/KAT2B/H2AC14/H3C7/ST3GAL4/H2BC14/H2AC19/H4C9/H3C8/E2F1/H4C12/H4C14/H4C15/H3C11/ATP2A3/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/E2F3/LFNG/H2BC7/H3C12,34
R-HSA-500792,GPCR ligand binding,63/1293,256/9301,0.24609375,1.77023818155452,5.02133787174478,2.50424735910441e-06,8.11158383709905e-05,8.11158383709905e-05,GPR37L1/PTGDR/LPAR1/EDNRA/CHRM4/CCL13/GNG2/HTR1D/CCL20/CXCL12/BDKRB2/CXCL5/GNG7/CXCL9/ADCYAP1R1/GPR143/CCL11/WNT3/TACR2/PMCH/ADRB1/TAS2R46/NPY1R/CXCL8/NMU/FFAR3/GPER1/CCL3/P2RY14/CCL23/PYY/OXGR1/TACR1/AGT/CCL3L3/CXCL6/SST/CCL22/EDN3/ACKR2/WNT9A/P2RY1/GRM8/DRD5/ACKR1/GNG4/MC1R/ECE1/CXCL10/CNR1/CXCL11/SHH/SSTR2/FZD10/PTGER4/PTGDR2/CXCL1/VIPR1/GCG/GPR17/VIP/GLP2R/FFAR4,63
R-HSA-9610379,HCMV Late Events,35/1293,114/9301,0.307017543859649,2.20848428108167,5.216572863045,2.66383198977047e-06,8.3372467638063e-05,8.3372467638063e-05,H2AC16/H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC25/H2AC14/H2AC15/H3C7/H2BC14/CHMP4C/H2AC19/H4C9/H2AC11/H3C8/H4C12/H4C14/H4C15/H3C11/H2BC11/RAE1/H2AC17/H3C2/H2BC8/H2AC12/H2AC8/H2AC18/H2BC6/NUP58/H2AC13/H2BC7/H3C12,35
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),49/1293,183/9301,0.26775956284153,1.92608793038598,5.08401331776925,2.6858244608235e-06,8.3372467638063e-05,8.3372467638063e-05,GPR37L1/PTGDR/LPAR1/EDNRA/CHRM4/CCL13/HTR1D/CCL20/CXCL12/BDKRB2/CXCL5/CXCL9/GPR143/CCL11/TACR2/PMCH/ADRB1/NPY1R/CXCL8/NMU/FFAR3/GPER1/CCL3/P2RY14/CCL23/PYY/OXGR1/TACR1/AGT/CCL3L3/CXCL6/SST/CCL22/EDN3/ACKR2/P2RY1/DRD5/ACKR1/MC1R/ECE1/CXCL10/CNR1/CXCL11/SSTR2/PTGER4/PTGDR2/CXCL1/GPR17/FFAR4,49
R-HSA-375276,Peptide ligand-binding receptors,33/1293,105/9301,0.314285714285714,2.26076676610319,5.22045822703056,2.88910973083278e-06,8.78525203865478e-05,8.78525203865478e-05,GPR37L1/EDNRA/CCL13/CCL20/CXCL12/BDKRB2/CXCL5/CXCL9/CCL11/TACR2/PMCH/NPY1R/CXCL8/NMU/GPER1/CCL3/CCL23/PYY/TACR1/AGT/CCL3L3/CXCL6/SST/CCL22/EDN3/ACKR2/ACKR1/MC1R/ECE1/CXCL10/CXCL11/SSTR2/CXCL1,33
R-HSA-9940951,Interaction of NuRD complexes with transcription factors,29/1293,87/9301,0.333333333333333,2.39778293374581,5.26324953151051,3.07850750030013e-06,8.99684771316013e-05,8.99684771316013e-05,H2BC15/PCK1/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/H3C11/PHF6/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/CHD5/H2BC7/H3C12,29
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,21/1293,53/9301,0.39622641509434,2.85019480803747,5.42762940506701,3.20022099864085e-06,8.99684771316013e-05,8.99684771316013e-05,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H2BC14/H2AC19/H4C9/H4C12/H4C14/H4C15/H2BC11/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7,21
R-HSA-110331,Cleavage of the damaged purine,21/1293,53/9301,0.39622641509434,2.85019480803747,5.42762940506701,3.20022099864085e-06,8.99684771316013e-05,8.99684771316013e-05,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H2BC14/H2AC19/H4C9/H4C12/H4C14/H4C15/H2BC11/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7,21
R-HSA-73927,Depurination,21/1293,53/9301,0.39622641509434,2.85019480803747,5.42762940506701,3.20022099864085e-06,8.99684771316013e-05,8.99684771316013e-05,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H2BC14/H2AC19/H4C9/H4C12/H4C14/H4C15/H2BC11/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/H2BC7,21
R-HSA-68875,Mitotic Prophase,40/1293,139/9301,0.287769784172662,2.07002843201077,5.10724013795533,3.26479564364022e-06,9.00841760930357e-05,9.00841760930357e-05,H2BC15/H2BC10/H2BC9/H4C11/CCNB2/H2BC17/H2BC26/H2BC13/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/CDK1/H4C12/H4C14/H4C15/CCNB1/RB1/H3C11/H2BC11/RAE1/H3C2/H2AX/H2BC8/LMNB1/H2AC8/H2AC18/H2BC6/NUP58/PLK1/NCAPG2/SMC4/TMPO/SMC2/PRKCB/PPP2CB/H2BC7/H3C12,40
R-HSA-69481,G2/M Checkpoints,43/1293,154/9301,0.279220779220779,2.00853245748837,5.07095322959199,3.37649559657598e-06,9.14723352526948e-05,9.14723352526948e-05,H2BC15/MCM7/BLM/H2BC10/H2BC9/H4C11/CCNB2/CLSPN/H2BC17/H2BC26/CDC6/H2BC13/CDK2/MCM10/EXO1/CDC7/CHEK1/H2BC14/MCM4/RFC4/H4C9/DBF4/ATR/ORC6/CDK1/H4C12/RFC3/BRIP1/H4C14/H4C15/CCNB1/H2BC11/MCM2/H2AX/H2BC8/ORC1/CDC45/H2BC6/PSMA7/GTSE1/PKMYT1/CCNA2/H2BC7,43
R-HSA-2559580,Oxidative Stress Induced Senescence,36/1293,121/9301,0.297520661157025,2.14016989127725,5.07247152038388,4.33763910252941e-06,0.000109376066839595,0.000109376066839595,MAPK10/H2BC15/H2BC10/H2BC9/CBX2/H4C11/H2BC17/H2BC26/H2BC13/FOS/CDK4/H2AC14/CDKN2B/H3C7/H2BC14/H2AC19/H4C9/H3C8/E2F1/H4C12/H4C14/H4C15/H3C11/H2BC11/EZH2/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/CBX8/CBX4/E2F3/H2BC7/H3C12,36
R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,15/1293,31/9301,0.483870967741936,3.48065264576005,5.55885877327937,4.3410460520525e-06,0.000109376066839595,0.000109376066839595,SGO1/BORA/CCNB2/CDK2/FOXM1/CDK1/HJURP/OBI1/CCNB1/CDC25B/TICRR/PLK1/PPP2CB/PKMYT1/CCNA2,15
R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,22/1293,58/9301,0.379310344827586,2.72851161426247,5.30589347788645,4.40440537609108e-06,0.000109376066839595,0.000109376066839595,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H2BC14/H2AC19/H4C9/H4C12/H4C14/H4C15/H2BC11/H2AX/H2BC8/H2AC8/H2AC18/NTHL1/H2BC6/H2BC7,22
R-HSA-110329,Cleavage of the damaged pyrimidine,22/1293,58/9301,0.379310344827586,2.72851161426247,5.30589347788645,4.40440537609108e-06,0.000109376066839595,0.000109376066839595,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H2BC14/H2AC19/H4C9/H4C12/H4C14/H4C15/H2BC11/H2AX/H2BC8/H2AC8/H2AC18/NTHL1/H2BC6/H2BC7,22
R-HSA-73928,Depyrimidination,22/1293,58/9301,0.379310344827586,2.72851161426247,5.30589347788645,4.40440537609108e-06,0.000109376066839595,0.000109376066839595,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/H2BC14/H2AC19/H4C9/H4C12/H4C14/H4C15/H2BC11/H2AX/H2BC8/H2AC8/H2AC18/NTHL1/H2BC6/H2BC7,22
R-HSA-1912408,Pre-NOTCH Transcription and Translation,30/1293,93/9301,0.32258064516129,2.32043509717337,5.14226652883935,4.4791042979509e-06,0.000109407629572899,0.000109407629572899,KAT2A/H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/KAT2B/H2AC14/H3C7/H2BC14/H2AC19/H4C9/H3C8/E2F1/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/E2F3/H2BC7/H3C12,30
R-HSA-73854,RNA Polymerase I Promoter Clearance,33/1293,107/9301,0.308411214953271,2.21850944337229,5.0938627949606,4.57912704102018e-06,0.000110046762760001,0.000110046762760001,KAT2A/H2BC15/H2BC10/H2BC9/H4C11/TAF1D/CBX3/H2BC17/H2BC26/H2BC13/KAT2B/H2AC14/POLR1C/H3C7/H2BC14/H2AC19/H4C9/H3C8/H4C12/H4C14/H4C15/POLR1B/H3C11/H2BC11/H3C2/H2AX/H2BC8/H2AC8/H2AC18/H2BC6/POLR1D/H2BC7/H3C12,33
R-HSA-5625740,RHO GTPases activate PKNs,29/1293,89/9301,0.325842696629214,2.34390017118973,5.11874803536921,5.14571135141103e-06,0.000121700157358769,0.000121700157358769,H2BC15/H2BC10/H2BC9/H4C11/H2BC17/H2BC26/H2BC13/H2AC14/PPP1R14A/H3C7/H2BC14/H2AC19/H4C9/H3C8/MYH11/H4C12/H4C14/H4C15/H3C11/H2BC11/H3C2/H2AX/H2BC8/AR/H2AC8/H2AC18/H2BC6/H2BC7/H3C12,29
