Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
81399,OR4F16,olfactory receptor family 4 subfamily F member 16,protein_coding,14.569177985518,1.22508173290219,0.705226560970576,1.73714633098356,0.0823613452214457,0.169988265233409
148398,SAMD11,sterile alpha motif domain containing 11,protein_coding,18.3320720652572,-0.879278992981009,0.62291335918369,-1.41155905555353,0.158079835453055,0.279958951624175
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,protein_coding,2446.48260315188,0.52275602065943,0.317406861206242,1.64695879185724,0.0995665162018839,0.197216450131705
339451,KLHL17,kelch like family member 17,protein_coding,54.6354175926678,1.21235105513266,0.466388593122676,2.59944405375663,0.00933748976860775,0.0300277808041444
84069,PLEKHN1,pleckstrin homology domain containing N1,protein_coding,33.0925577677119,3.21468706062423,0.687976503232165,4.67266984485863,2.97309476727271e-06,3.11679122927809e-05
57801,HES4,hes family bHLH transcription factor 4,protein_coding,62.1951762450432,-0.567036835754775,0.484152836467291,-1.17119387318323,0.241520857446033,0.382641625075805
9636,ISG15,ISG15 ubiquitin like modifier,protein_coding,82.2000249914562,0.388456580189501,0.398129158670849,0.975704923212257,0.329210711813474,0.478199514944964
375790,AGRN,agrin,protein_coding,2858.031993668,0.476461103581482,0.2251173319885,2.11650120127499,0.0343022031453619,0.0853886953255939
54991,C1orf159,chromosome 1 open reading frame 159,protein_coding,92.0504136656174,0.503913811800262,0.303698551774211,1.65925655178924,0.0970641063576295,0.193431497033783
254173,TTLL10,tubulin tyrosine ligase like 10,protein_coding,11.6337835248598,-0.773026313133678,1.01833997861094,-0.759104355490514,0.447790133912863,0.591960007199466
7293,TNFRSF4,TNF receptor superfamily member 4,protein_coding,9.55517507262396,2.18616526681966,0.685264225624299,3.19025156293252,0.00142148999493877,0.00633641432584692
51150,SDF4,stromal cell derived factor 4,protein_coding,1398.80896184196,-0.368951341994501,0.233099559067074,-1.58280583400132,0.113465726600304,0.21833338035207
388581,C1QTNF12,C1q and TNF related 12,protein_coding,24.6987664364562,-1.81129182275215,0.433571014198021,-4.17761280952442,2.94584568431892e-05,0.000233342355726983
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,protein_coding,292.651107434304,-0.185290343277096,0.188801354633805,-0.981403674970876,0.326393714619061,0.475018914740898
6339,SCNN1D,sodium channel epithelial 1 subunit delta,protein_coding,11.445443178553,0.0257890474935791,0.769304423164353,0.0335225519534932,0.973257882078421,0.98245847773981
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",protein_coding,376.353081422576,0.0996413107601605,0.279171950964256,0.356917342218661,0.721153686405908,0.816820433001266
126789,PUSL1,pseudouridine synthase like 1,protein_coding,64.7281566419905,0.210537477629666,0.327183641846997,0.643484119319514,0.519910016069984,0.655953984862839
54973,INTS11,integrator complex subunit 11,protein_coding,872.889737506475,-0.161724154993489,0.180620935387079,-0.895378792313893,0.370584633574137,0.519542065820398
80772,CPTP,ceramide-1-phosphate transfer protein,protein_coding,180.585114367525,-1.0874159931026,0.34779518906318,-3.12659872044713,0.00176841121014158,0.0076277042823766
83756,TAS1R3,taste 1 receptor member 3,protein_coding,25.0132118466365,-0.249575067571695,0.459468437524487,-0.543182180078244,0.587004374630136,0.712549651868309
1855,DVL1,dishevelled segment polarity protein 1,protein_coding,983.798241030193,0.12961327179295,0.254021437518091,0.510245407077975,0.609879544342652,0.731574382491531
54587,MXRA8,matrix remodeling associated 8,protein_coding,336.537233567409,-1.04544984520175,0.434472265863516,-2.40625219914536,0.0161171340225502,0.0465947966934468
54998,AURKAIP1,aurora kinase A interacting protein 1,protein_coding,495.706105332665,-0.416561561611479,0.237026365398854,-1.75744821007787,0.078841442065913,0.164620298562795
81669,CCNL2,cyclin L2,protein_coding,850.631604534669,0.668831931349499,0.192982022932289,3.46577324243393,0.000528708986031664,0.00276957053123128
55052,MRPL20,mitochondrial ribosomal protein L20,protein_coding,574.724646301584,-0.183525022808801,0.196982003932353,-0.931684210461311,0.351499748824062,0.500683524496384
64856,VWA1,von Willebrand factor A domain containing 1,protein_coding,151.722688727025,-0.675895120751607,0.4906869807397,-1.37744661521834,0.16837420914404,0.293625897057154
219293,ATAD3C,ATPase family AAA domain containing 3C,protein_coding,125.513497105506,1.46009944848125,0.377358425472758,3.86926420591252,0.000109164297503938,0.000716492855721275
83858,ATAD3B,ATPase family AAA domain containing 3B,protein_coding,1135.79350646824,0.846739605127744,0.22309585740361,3.795407117739,0.000147401373030882,0.000927270419920102
55210,ATAD3A,ATPase family AAA domain containing 3A,protein_coding,1583.61434926449,0.870863652420198,0.224103970208438,3.88598047419781,0.000101917698700523,0.000674511332917485
29101,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",protein_coding,824.877552425771,-0.261587746862324,0.254381364930351,-1.02832904813584,0.303795071401092,0.451086790232237
142678,MIB2,MIB E3 ubiquitin protein ligase 2,protein_coding,446.033062787338,0.0989507476261678,0.328029030850371,0.301652409756695,0.762917050658172,0.845722514797619
8510,MMP23B,matrix metallopeptidase 23B,protein_coding,38.1628360215963,-1.04308154366342,0.50185396880941,-2.07845630101921,0.0376673517678618,0.0920438236392902
984,CDK11B,cyclin dependent kinase 11B,protein_coding,2636.47602435208,-0.44466872875117,0.182809208242048,-2.4324197507732,0.0149983146700387,0.043970771871437
728661,SLC35E2B,solute carrier family 35 member E2B,protein_coding,832.876139636242,-0.0659655782419267,0.328074003779984,-0.201069202319868,0.840644463171089,0.900254289135584
728642,CDK11A,cyclin dependent kinase 11A,protein_coding,1895.97392750872,-0.290717702315722,0.221435284577163,-1.31287885248666,0.189223773906635,0.320399433394667
65220,NADK,NAD kinase,protein_coding,1039.86879761744,-0.611806103705516,0.234587620201675,-2.60800677878716,0.00910711508449493,0.0294120557092803
2782,GNB1,G protein subunit beta 1,protein_coding,4569.97196079781,-0.537765149998775,0.222865066111776,-2.41296296176388,0.0158234274555588,0.0459290215289594
339456,TMEM52,transmembrane protein 52,protein_coding,68.4628322637985,1.01089548506999,0.856019730801538,1.18092544914057,0.237632340458596,0.378367379789648
5590,PRKCZ,protein kinase C zeta,protein_coding,605.040355752238,0.551710443132926,0.359436100493173,1.53493330908036,0.12480021057833,0.234667785056307
199990,FAAP20,FA core complex associated protein 20,protein_coding,301.583897705113,0.0144073014834829,0.292458090745296,0.0492627899155312,0.960709872840594,0.975050573434389
6497,SKI,SKI proto-oncogene,protein_coding,1528.51466160959,-0.740454077016888,0.282468002404,-2.62137329083332,0.00875763105547808,0.0284986556206591
79906,MORN1,MORN repeat containing 1,protein_coding,115.682760362196,-0.365397158109489,0.278221159048597,-1.31333346233981,0.189070607592916,0.320205183131638
11079,RER1,retention in endoplasmic reticulum sorting receptor 1,protein_coding,1157.74047142128,-0.280363066743027,0.197809986176974,-1.41733525269141,0.156384932991993,0.278021367532616
5192,PEX10,peroxisomal biogenesis factor 10,protein_coding,138.457580173742,-0.353212046770419,0.296969116862408,-1.18938982781186,0.234286301806229,0.374723112384845
